1	A sötétség szűnni kezd már
2	A bolond homokra épített
3	A kis Jézus megszületett, örvendjünk
4	A Sionnak hegyén, Úr Isten
5	A szeretet mindenkié
6	A szeretet nem fogy el sosem
7	A Te nevedben mi együtt vagyunk
8	A világnak Krisztus kell
9	Adjon Isten jó éjszakát
10	Add a kezed
11	Ahány csillag van az égen
12	Aki értem megnyíltál
13	Ajtódon valaki kopog
14	Amint vagyok, sok bűn alatt
15	Aranyszárnyú angyal
16	Atyám, én imádlak
17	Az áldott orvos
18	Az egyháznak a Jézus a fundámentoma
19	Az Isten Bárányára letészem bűnöm én
20	Az Isten oly nagy
21	Az Úr a pásztorom
22	Az Úr énnékem őriző pásztorom
23	Az Úrnak hála zeng
24	Az Úrnak irgalmát örökké éneklem
25	Az Úr van itt
26	Az, aki bennünk, a szívünkben él
27	Áldott légy, Uram
28	Áldjad, én lelkem, a dicsőség erős Királyát
29	Álmokat kergettél
30	Csak nyisd ki a szíved
31	Csak vezess, Uram, végig
32	Csillagfényes éjszakán
33	Csendes éj
34	Dicsérjétek az Urat
35	Dicsőség mennyben az Istennek
36	El Shaddai
37	Erős vár a mi Istenünk
38	Életem csak kegyelem
39	Felhők gyűlnek
40	Felvirradt áldott szép napunk
41	Fel nagy örömre
42	Fenn a csillagok felett
43	Fenn a mennyben
44	Föltámadt! Alleluja!
45	Főember az úton
46	Győzhetetlen én kőszálom
47	Győzött a Bárány
48	Ha jön az Úr
49	Ha napjában csak egyszer
50	Ha nem teszek semmit sem
51	Hadd menjek, Istenem
52	Halld, egy bárányt ismerek
53	Hallelu, hallelu
54	Ha te Jézust követed
55	Hinni taníts, Uram
56	Hozsánna, hozsánna
57	Igen, Isten jó
58	Ím, nagy Isten
59	Isten élő Lelke, jöjj
60	Isten szívén megpihenve
61	Itt az éltem, Jézusom
62	Itt állok jászolod felett
63	Jászolágyban ki az ott
64	Jézus az egyetlen
65	Jézus hív, bár zúg, morajlik
66	Jézus, nyájas és szelíd
67	Jézus, ragyogj
68	Jézus, Vigasságom
69	Jézus, világ Megváltója
70	Jól vigyázz, kicsi kéz
71	Jóságod, Isten
72	Józsué úgy ostromolta Jerikót
73	Jót kívánunk ma neked
74	Jöjj, mondjunk hálaszót
75	Jöjj, hirdesd minden népnek
76	Jöjj, Királyom, Jézusom
77	Jöjj, népek Megváltója
78	Jöjjetek Krisztust dicsérni
79	Jövel, Szentlélek Úr Isten
80	Kegyes Jézus, itt vagyunk
81	Kérünk, sziklánk Te légy a hitben
82	Két kicsi szem
83	Ki teremtette
84	Kimegy a magvető
85	Kicsi vagyok én
86	Kicsiny kis fényemmel
87	Királyi gyermek vagyok én
88	Kis telefonom van nekem
89	Krisztus az énekem
90	Krisztus Urunknak áldott születésén
91	Krisztus enyém
92	Krisztus újjá teremtett
93	Krisztus, ki vagy nap és világ
94	Krisztusom, kívüled nincs kihez járulnom
95	Légy Krisztusnak jó katonája
96	Lámpás az úton
97	Maradj velem, mert mindjárt este van
98	Már nyugosznak a völgyek
99	Mely igen jó az Úr Istent dicsérni
100	Mennyből az angyal
101	Mért mondod, Jákób
102	Még nem is éltem én
103	Mi várjuk az Úr Jézust
104	Mindenek meghallják
105	Mindenkoron áldom az én Uramat
106	Mindenre van erőm a Krisztusban
107	Mint a szép híves patakra
108	Ne aggodalmaskodjál
109	No, minden népek, örvendezzetek
110	Oly csöpp ember volt Zákeus
111	Ó, Jézus, árva csendben
112	Ó, Krisztus, láttam szenvedésed
113	Ó, jöjjetek, hívek
114	Ó, Sion, ébredj
115	Ó, lelkem szent napsugara
116	Örvendj egész föld az Istennek
117	Pillangó, ha lehetnék
118	Pásztorok, pásztorok
119	Rút volt szívem
120	Soha nem fél már a szívem
121	Szálljatok le, szálljatok le, karácsonyi angyalok
122	Száz juhocska mind együtt legelt
123	Szelíd szemed, Úr Jézus
124	Szeret az Isten
125	Szeretet áradjon köztünk
126	Szívem csendben az Úrra figyel
127	Szívem, mért késel
128	Szívemet Hozzád emelem
129	Szívünk zengje már
130	Szoros kapu, keskeny út
131	Szolga Király
132	Szólj, szólj hozzám, Uram
133	Szólsz hozzám, Istenem
134	Szólt az Isten egykor
135	Szólj hozzám, szólj ma, Istenem
136	Szűkölködünk nagy mértékben
137	Te vagy napvilágom
138	Tebenned bíztunk eleitől fogva
139	Testvérek, menjünk bátran
140	Töltsd be szívemet
141	Tőled árad minden áldás
142	Új szövetséged elfogadom
143	Úr Jézus, nézz le rám
144	Úr lesz a Jézus mindenütt
145	Úrnak szolgái mindnyájan
146	Volt egyszer egy Király
147	Vezess, Jézusunk
148	Várj, ember szíve, készen
149	Zengjen hálaének
150	Zengje vígan föld és ég
