1	A fényes nap immár elnyugodott	
2	A kegyelmed köszönöm Neked	
3	A mélyből Hozzád száll szavam	
4	A mennyben fenn a trónusnál	
5	A napfelkeltétől	
6	Áldalak, jó Uram	
7	Áldásoddal megyünk	
8	Áldd, lelkem, Istened	
9	Áldjad lelkem	
10	Áldjon meg téged	
11	Áldjuk a mennyei Atyát	
12	Áldott légy, Istenem	
13	Alleluja (Ébredj, ember)	
14	Atyám, két kezedben	
15	Az Istenhez az én szómat	
16	Az Úr csodásan működik	
17	Az Úrnak zengjen az ének	
18	Az Úr jósága	
19	Csak Istenben nyugoszik meg szívem	
20	Csak Istené legyen minden dicsőség	
21	Csend van bennem	
22	Csak Benned	
23	Együtt a sereg	
24	Elindulunk égő szívvel	
25	Eljöttem, hogy áldjam	
26	Emeld fel a szemedet az égre	
27	Énekeljetek	
28	Emlékezzél meg	
29	Erdő mellett estvéledtem	
30	Erőt adsz minden helyzetben	
31	Felnézek rád, csodás kereszt	
32	Földtől az égig	
33	Fel, barátim	
34	Gyertek, dicsérjük együtt	
35	Gyertyaláng	
36	Ha szívemben Istennek békéje él	
37	Hála, hogy itt a csendes reggel	
38	Hajnalórán lelkem ébred	
39	Hálát adok, Uram	
40	Hívlak, Uram	
41	Hozzád jövünk, Uram	
42	Hozzád száll az énekem	
43	Hús-vér templom	
44	Hű pásztorunk, vezesd a Te árva nyájadat	
45	Hűséged végtelen	
46	Így szól ma tehozzád Jézus	
47	Ima a magyar népért	
48	Imádság	
49	Imádkozzatok és buzgón kérjetek	
50	Indulj és menj	
51	Indulj az úton	
52	Isten hord karjain	
53	Isten velünk! Viszontlátásra!	d: Árokháty Béla
54	Istenem, nem értem	
55	Itt az este	
56	Itt van Isten köztünk	
57	Jézus a jó Pásztor	
58	Jézus életem	
59	Jézus a mi oltalmunk	
60	Jézus, neved oly csodálatos	
61	Jézus, Messiás	
62	Jézus, Te égi szép	
63	Jézus, Te vagy minden álmom	
64	Jöjj, Szentlélek Istenünk	
65	Jézus, véred megtisztít	
66	Jöjj, az Úr vár reád	
67	Jöjj, Izráel	
68	Jövel, jövel Immánuel	
69	Kegyelmes Isten	
70	Kenyered és borod	
71	Kész az én szívem	
72	Ki Istenének átad mindent	
73	Kiálts az Úrnak	
74	Krisztus feltámadott	
75	Küldj el, Jézus	
76	Küldd Szentlelked	
77	Láncom lehullt	
78	Légy az igaz álmom	
79	Legyen áldás az úton	d: Madarász Eszter
80	Lelki próbáimban, Jézus, légy velem	
81	Magányos voltam	
82	Menjetek be kapuin	
83	Messziről száll dalunk	
84	Mikor látom egeidet	
85	Minden nap veled leszek	
86	Minden, mi él	
87	Mindig csak Rólad énekelnék	
88	Mindnyájan vétkeztek	
89	Mint szarvas hűs vízforrásra	
90	Nagy hálát adjunk az Atya Istennek	
91	Nagy Istenem	
92	Nagy Király	
93	Nagy Úr	
94	Napfivér, Holdnővér	
95	Nagy vagy Te, Isten	
96	Ne félj, ne aggódj	
97	Ne félj, mert megváltottalak	
98	Nem lesz egyedül a szívem	
99	Ó, Ábrahám Ura	
100	Ó, Atya Isten, irgalmas nagy Úr	
101	Ó, felséges Úr, mi kegyes Istenünk	
102	Ó, hála az Úrnak	
103	Ó, halld meg, Uram	
104	Ó, hova visz az út?	
105	Ó, jöjj, ó, jöjj, Üdvözítő	
106	Ó, terjeszd ki, Jézusom	
107	Olyan örömöt, mint a forrás	
108	Ó, Uram, a Te Igéd lámpás	
109	Oly jó tudni azt	
110	Ott a messze földön	
111	Őrizd minden percem	
112	Rád bízom	
113	Rejts most el	
114	Róla beszél fű, virág	
115	Semmi sem tökéletes	
116	Siess, keresztyén, lelki jót hallani	
117	Siessetek, hamar lejár	
118	Simuljon mindig	
119	Sok számos esztendőket	
120	Sűrű sötét van mindenfelé	
121	Szálljon hangunk	
122	Székely asztali áldás	
123	Szent vagy, szent vagy, szent vagy	
124	Szentlélek, jövel	
125	Szentlélek Isten, jöjj szívünkbe	
126	Szentlélek, úgy kérünk	
127	Te csak az Istennek országát keresd	
128	Te felemelsz	
129	Te vagy a fény	
130	Tégy eggyé, Urunk	
131	Tégy, Uram, engem áldássá	
132	Tehozzád teljes szívből	
133	Tied a dicsőség	
134	Tüzed, Uram Jézus	
135	Teremts bennem tiszta szívet	
136	Úgy gyötört a szomj	
137	Úgy szerette Isten	
138	Új szívet adj	
139	Úr Jézus, kérlek	
140	Uram, az éltem	
141	Uram, közel voltam Hozzád	
142	Uram, szent vagy	
143	Uram, Tehozzád futok	
144	Várj, és ne félj	
145	Velem vándorol utamon Jézus	
146	Zengjünk dalt az Úrnak	
147	Zörgetve állok kint	
148	Mindig velem, Uram	
149	Székely Himnusz	
150	Himnusz	
