A fényes nap immár elnyugodott	80		
A kereszthez jövök	48		
A kis Jézus megszületett, örvendjünk	30		
A Krisztus mennybe felméne	62		
A mélyből hozzád száll szavam	98		Let my people go
A mennyben fenn a trónusnál	124		
A pünkösdnek jeles napján	64		
A sötétség szűnni kezd már	5	kánon	
A Szentlélek leszáll	70		
A Te nevedben mi együtt vagyunk	101		
A tegnap terhe	77		
Adjon Isten jó éjszakát	81		
Adjonisten, Jézusunk, Jézusunk	15		
Adventi hírnök: friss fenyőág	2		
Áldásoddal megyünk	123		
Áldd, lelkem, Istened	179		
Áldjad lelkem	205		
Áldjátok Istent szent templomában!	215		
Áldjon Isten, jó anyám	92		
Áldjon meg és őrizzen meg téged az Úr	118		
Áldjon meg téged az Úr	116		
Áldjon meg téged, áldjon az Úr	115	kánon	
Áldjuk a mennyei Atyát!	229	kánon	
Áldott a férfi, ki Istenben bízik egyedül	125	kánon	
Áldott légy, Istenem! Köszönöm neked	47		
Áldott legyen a mi Urunk	197		
Áll a Krisztus szent keresztje	60		
Amazing Grace	192		
Annyi mindent hordozunk a világban	220		
Aranyszárnyú angyal	7		
Atyám, én imádlak	227	kánon	
Atyám, két kezedben	99		
Az asztal terítve	95		
Az ételért, az italért	97	kánon	
Az Isten áldása szálljon jó anyánkra	91		
Az Úr a pásztorom	126	kánon	
Az Úr az én váram, kősziklám	129		
Az Úr csodásan működik	170		
Az Úr gondol ránk	132	kánon	
Az Úr igéje szól	180		
Az Úr van itt	133		
Babilonnak folyóvize mellett	175		
Bárány Jézus	230	kánon	
Betlehem városba	34		
Betlehem, Betlehem a te határidba	17		
Belehemi csillag csodafényt ád	16		
			
Bim-ban, bim-bam	185	kánon	
Bízom Benned, Uram Jézus	134		
Boldog az, ki nem jár gonoszok tanácsán	174		
Csak Benned	135		
Csak Krisztusban kaptam reményt	136		
Csak nyisd ki a szíved	182	kánon	
Csendes éj	19		Silent night, holy night
Cserkészinduló	235		
Csillagfényes éjszakán	8		
Csillagoknak teremtője	1		
Csordapásztorok	13		
Da Pacem Domine	121	kánon	
Dávid fiától, Absolontól űzve	128		
Dicsérem őt	206		
Dicsőség mennyben az Istennek	6		
Dicsőség néked, Istenünk!	55		
Down by the riverside	191		
Drága Szentlélek, jöjj	68		
Egy szív érettem dobogott	49		
Egyedül csak Te vagy	137		
Egymásnak terhét	166		
Éjjel, nappal	86		All night, all day
Eljött hozzám	214		
Én hirdetem az élő Úr dicséretét	233		All heaven declares
Én még mit sem tudtam Rólad	138		
Én Uram, Megváltóm	139		
Erdő mellett estvéledtem	85		
Erőt adsz minden helyzetben	140	kánon	
Este van, imádkozzunk	82		
Falu végén van egy házikócska	29		
Felvirradt áldott szép napunk	59		
Fenn a mennyben az Úr	171		
Fényeddel	234		
Földön és égen	40		
Futunk, s nem lankadunk	141		
Gloria in excelsis Deo	226	kánon	
Hadd zengjen énekszó	25		
Hajnalban a patak partján	93		
Hajnalórán	74		
Hála, hogy itt a csöndes reggel	76		
Hálás szívvel áldunk	207		Land of hope
Hálád adok, Uram	222		
Halleluja – Agnus Dei – Istennek báránya	212		
Halleluja, áldd az Urat	198		
Halleluja, zengve zeng hálaének	200		
Hear my prayer	114		
Hegyek, s tengerek felett	223		Over the mountains and the sea
Himnusz	237		
Hinni kell!	169		
Hív már az Úr	164		Oh, bye an'bye
			
Hozzád jövünk, Uram	120		
Hozzád kiáltok, Uram, én szirtem!	113		
Hozzád száll az énekem	199		
Hozsánna, hozsánna	43		Hosanna
Hús-vér templom	142		
Hű Jézusom kezébe	143		
Hűséged végtelen	144		
Igéddel áldj meg	103		
Imádkozz minden reggel	78		
Isten arca	71		
Isten élő Lelke, jöjj	69		
Isten nevét dicsérem	216		
Istenem, nem értem	201		
Istenünk, itt hozzuk néked mindenünk	181	kánon	
Itt a húsvét, ünnepeljünk	61		
Itt az este, ránk borul árnya	83	kánon	
Itt vagyok most, jó Uram	218		
Jákób is pásztor volt	10		
Jer, mindnyájan örüljünk	14		
Jézus a jó pásztor	145		
Jézus a mi oltalmunk	195		
Jézus ágyán nincsen paplan	23		
Jézus, Te égi szép	111		
Jézus, tiszta lényed nézve	67		
