1	Engedjétek hozzám jönni a gyermekeket		
2	Azért jött az Emberfia		
3	Isten úgy szeret		
4	Krisztus szava lakozzék tibennetek		
5	Gyermekek		
6	Ne félj, csak higgy!		
7	Jertek, gyerekek		
8	Harmatos ág friss bimbója		
9	Áldjon Isten, jó anyám		
10	Az Isten áldása szálljon jó anyánkra		
11	Mit is adjunk ma tenéked, édesanyánk?		
12	Bim-bam, bim-bam		
13	Az Úr Jézus szenvedése		
14	Ezer madár vígan csengő		
15	Hol az Úr Jézus jár		
16	A virágok vetélkedése		
17	Krisztus, arra kérünk		
18	Szívünk zengje már: Jézus erre jár!		
19	Szól a harang a toronyban		
20	Szólnak a harangok a toronyban		
21	Tehozzád emelem szemeim, Istenem		
22	Templomunk az Isten háza		
23	Úr Jézus Krisztus, szívem Királya		
24	Zengjük együtt Istenünknek örömünk dalát		
25	Zsoltár gyermekhangra		
26	Góliát nagy volt		
27	Zákeus, a fáról hamar szállj alá		
28	Jézus míg a földön járt		
29	Főember az úton		
30	Itt az írás, Dániel		
31	Jairus sír, beteg a leánya		
32	Tágas mezőn ezernyi nép		
33	Lakodalom készül Kána városában		
34	Páncélba bújt a pogány Góliát		
35	Sűrű erdő mélyén kicsi bárány béget		
36	Szólt az Isten egykor		
37	Kimegy a Magvető		
38	Vihar zúg a tó felett		
39	Éjszaka árnya száll a világra		
40	Elringatja Jézust édesanyja		
41	Tegnap harangoztak		
42	Új esztendő virradott		
43	Jézusunknak életében		
44	Mikor pünkösd napján		
45	A kis Jézus aranyalma		
46	Olajágak hullnak Jézus elébe		
47	Elhozta az Isten piros pünkösd napját		
			
48	Jövel, jövel Immánuel!		
49	A jöttöd miként várjam		
50	Az Úr Isten Ádám atyánknak		
51	Várni jó, várni jó		
52	Ébredj alvó, hív a szózat!		
53	Ti zárt ajtók, táruljatok!		
54	Szállj, szállj magasra szíveink reménye		
55	Várj, ember szíve készen!		
56	Ó, jöjj, ó, jöjj, Üdvözítő		
			
57	Aludj, ó, magzatom		
58	Gloria in excelsis Deo		
59	Aranyszárnyú angyal száll a földre le		
60	A sötétség szűnni kezd már		
61	Betlehemi csillag csodafényt ád		
62	Kis Jézus, lásd, szívünk téged vár		
63	Csillagfényes éjszakán		
64	Mennyei kórus hangja kél, alleluja!		
65	Betlehemi mezők, tarka rétek		
66	Csordapásztorok		
67	Boldog örömnap derült ránk		
68	Dicsőség mennyben az Istennek!		
69	Fel nagy örömre		
70	Hadd zengjen énekszó		
71	Istennek szent Fia		
72	Itt állok jászolod felett		
73	Jer, mindnyájan örüljünk		
74	Az év elszállt		
75	Krisztus Urunknak áldott születésén		
76	Mi most azért jöttünk		
77	Mind e világ örvendezzen Krisztus születésén		
78	Mostan kinyílt egy szép rózsavirág		
79	Nékünk születék mennyei király		
80	Ó, szerencsés éjszaka		
81	Soha nem volt még ilyen áldott éj		
82	Új esztendő, vígság szerző		
83	Vígan zengjetek citerák		
84	Zengje vígan föld és ég: alleluja!		
			
85	Adj már csendességet		
86	Messziről száll dalunk		
87	A mélyből hozzád száll szavam		
88	Aki magát felmagasztalja, megaláztatik		
89	Bocsásd meg, Úristen, ifjúságomnak vétkét		
90	Emlékezzünk, mi keresztyén népek		
