A béke messze tőled	194
A Bibliát, ha felnyitod	187
A börtönömnek zárát	291
A bűn, a bűn, a bűn	255
A földön túl	461
A gecsemánei kertből	130
A Golgotán ott	131
A keresztfához megyek	132
A lelkem a véredben	293
A lelkem vágyva vár	239
A mélyből hozzád	256
A mélyből kiáltok	240
A menny örök otthona	463
A mennybe ment fel	153
A mi Urunk	515
A nagy mélységből	241
A Szentlelket ne űzzed el	196
Ad ébredést az Úr	292
Add ide szívedet	195
Adj hálát Istennek	2
Adj új erőt Urunk	330
Adj, Uram, ma új szívet	270
Adjatok hálát az Istennek	1
Adjon Isten	441
Adjunk hálát	3
Ahol ott van Jézus	503
Aki értem megnyíltál	269
Áldjad én lelkem 	7
Áldjad vígan az Urat	8
Áldott légy, mert	10
Áldott örömidő	104
Áldott szavad által	170
Áll a Krisztus szent	297
Áll a szikla mindörökké	298
	
Ama szép hon felé	462
Ameddig Jézus él	504
Ámen	517
Ami szép volt	272
Amint vagyok, csak	257
Amint vagyok, sok	258
Amit szívünk esdve kér	155
Áradó béke	331
Az áldott orvos	505
Az egyháznak csak Jézus	171
Az éltem, Jézus, nélküled	366
Az én időm, mint a	478
Az én Uram dicső	4
Az írás széjjeltépve	294
Az Úr az én hű pásztorom	367
Az Úr csodásan működik	368
Az Úr énnékem	369
Az Úr irgalma	296
Az Úr szent Bárányára	502
Az Úrnak hála, tisztelet	5
Az Úrnak irgalmát	6
Az üdv, mit Krisztus	295
Azért jött Jézus	273
Azt az éltet vágyom élni	340
Bár bűn és kín gyötör	271
Bár ezer nyelvvel	12
Bár szent tüzed	156
Bár térhetnék haza	479
Bár valóban Krisztus	341
Beteg szívem	259
Bízom benned Uram	370
Bízz az Úrban lelkem	371
Boldog a ház	500
	
Boldogság szép hazája	464
Bú, gond ekéje szánt	157
Bús, sötét éjből	274
Bűneid ha bántnak	197
Bűnös vagyok	260
Csak az Úrnak nagy	372
Csak halandó	465
Csak vakhomály a dél is	299
Csak vidáman	506
Csak zengje, zengje	13
Csendes éj	105
Csendes légy	342
Csillag, égi fényem	373
Csillagfényes éjszakán	106
Csodálva, imádva tekintek	300
Dicsének teljes életem	14
Dicsérjétek az Urat	9
Dicsérjétek szentségében	48
Dicsérlek téged	15
Dicsérünk üdvnek Kútfeje	11
Dicsőség mennyben	108
Dicsőség, dicsőség	107
Drága égi kegyelem	275
Drága kereszt	301
Drága Uram	485
Ébredj, bizonyságtévő	425
Égi harsonák	457
Egy az Úr, egy a hit	172
Egy forrás van	302
Egyedül csak Jézus	303
Egyedüli reményem	62
Egyetlen forrása	63
Egyszerűen, hitben élj	374
Él az Úr, én is vele	144
Eldőlt a szívemben	276
	
Elég a kegyelmem	375
Életem, Jézus	64
Eljő az Úr	456
Elmegyek, hadd menjek	466
Elnémul egyszer énekem	480
Előtted állok	261
Előttem tárva	198
Élted rövid	199
Eltévedtem, mint juh	277
Én életemnek Istene	377
Én is a bűn rabja	343
Én Istenem, én bűnös	262
Én Istenem, sok nagy	263
Én szívem, ébredj	378
Én zörgetek	200
Énekeljünk az Úr	16
Engem szeret Jézusom	507
Erős vár a mi Istenünk	376
Ez esztendő fordulóján	126
Fáradt vándor	201
Fáradtan, bűnbe veszve	305
Fel álmodból	332
Fel, mert az éjjel	426
Fel, mert az irgalom	202
Felfelé repül a lélek	467
Feltámadt Jézusomnak	146
Fenn a mennyben	468
Fényben, sötétben	333
Fogjad kezem	65
Föl barátim	427
Föld és nagy ég	17
Fölkelt a szép ezüst hold	447
Fönn a csillagok felett	508
Győzelmet vettél	145
Győzhetetlen én kőszálam	66
	
Győzött az Isten szent Fia	147
Ha a keresztre néz	133
Ha alig van olajod	428
Ha földi munka, baj	481
Ha Isten intő hangja	203
Ha Jézusé vagy	380
Ha jő az Úr, mi lesz	264
Ha lelkem az Úrba'	381
Ha minden veszni látszik	382
Ha reggel jókor felkelek	445
Ha szívem néha	383
Ha utam borítja	384
Ha zúg az Úrnak lelke	158
Hadd járjak utamon	67
Hadd menjek, Istenem	344
Hadd zengjen énekszó	109
Hagyjad a jó Istenre	379
Halld, az ég harangi	96
Halld, Megváltód hív	204
Halld az angyalujjongást	110
