A Bárány vére megtisztít	34	1Jn 1,7
A legnagyobb cél e földön	30	
A mélyből hozzád száll szavam	23	Zsolt 130,1
A napfelkeltétől	24	
A szeretet hatalmát áldom	21	
A szívem áld	33	
A tábor ormán	32	
A Te nevedben	18	
Abbá, Atyánk	15	Róm 8,15
Adj új erőt, Urunk	14	
Adj, Uram, nékem	13	
Ajtódnál valaki megáll	11	Jel 3,20
Aki értem megnyíltál	12	
Aki hozzám fordul	10	Mt 11,28
Aki Isten felé fordul	9	1Jn 1,9
Akkor majd táncolva	7	Jer 31,13
Áldjátok az Úr nagy nevét	4	
Áldjátok az Urat	1	
Áldjon meg téged	2	4Móz 6,24-26
Áldott a nap	3	
Áldott légy, Istenem	5	
Álmokat kergettél	6	
Amikor megérint	31	
Amikor úgy érzed	22	Zsid 11,6
Amint vagyok	25	
Átadom a szívemet	20	
Atyám, két kezedben	29	
Az Isten jó	8	
Az Úr csodásan működik	27	Ézs 55,8-9
Az Úr gondol ránk	26	Zsolt 115,12; Zsid 2,6
Az Úr lejött	17	2Kor 8,9
Az Úr örömmel	174	
Az Úré a harc	16	
Az Úrért mi indulunk	28	
Az, aki bennünk	19	
		
Békéd, mint a folyó	36	
Békességre vágyik	35	
Békét ad Ő	37	
		
Csak Tiéd a legelső hely	39	
Csodálom az Ő útjait	40	
		
Dicsérd az Urat	38	
Dicsérem neved	43	Zsolt 104,33
Dicsérni vágylak én	42	
		
Édesatyám	44	
Egy hangszer hadd legyek	45	Zsolt 57,8-9
Egy szív érettem dobogott	46	
Egy új nap	50	Zsolt 68,20
Egyszer szembenéztem önmagammal	217	
Együtt a sereg	49	
El Shaddai, El Shaddai	53	
Élet fejedelme	59	
Életem csak kegyelem	56	
Elindulunk, égő szívvel	47	
Elmúlik ez a világ	48	1Jn 2,17; Zsolt 37,4; Zsolt 42,9; Ézs 40,7-8; Zsolt 16,11; 18,32
Emeld fel a fejedet	54	
Én fogom a kezed, Jézus	58	
Én ujjongva zengem	61	
Én Uram, Megváltóm	57	Zsolt 4,9
Énekelj az Úrnak	55	Zsolt 96,2
Énekelj az Úrnak új dalt	60	Ézs 42,10
Esdve kérlek, jó Atyám	52	
Ez az a nap	51	Zsolt 118,24
		
Fel, lelkem, az Urat dicsérni	62	
Felséges Úr	41	
Felséges vagy, Uram	63	Zsolt 8,2
Formáld a szívünket	65	
		
Gyere, menjünk, vigyük korsónk	67	Jn 4,14
Gyermekként jött	68	Fil 2,6-8
		
Ha napjában csak egyszer	70	1Thessz 5,17-18
Hálaadással	66	Zsolt 100,4; 118,24
Hálát adok, Uram	83	Kol 2,7
Halleluja	73	
Halleluja, dicsérd Istent	72	Jel 22,17
Hallottál-e arról	69	
Helyettem meghalt Ő	74	
Hevenu shalom	71	
Hinni taníts, Uram	75	
Hirdessétek hangos szóval	77	
Hívlak, Uram	76	
Hogy a Jézus nevére	80	Fil 2,10-11
Hozzád jövünk	81	Jak 1,22
Hozsánna	78	Mt 21,9
Hozsannát, dicséretet	79	
Hűséged végtelen	82	Zsolt 36,6
		
Így szól ma tehozzád Jézus	86	
Ím, az Úr	94	
Immánuel	88	Mt 1,23
Indulj az úton	89	
Isten élő Lelke, jöjj	90	Ef 5,18
Isten ezt a napot azért adta	95	
Isten fénye	84	Zsolt 18,29
Isten hív	85	Ézs 55,6
Isten jó	91	
Isten küldte szent Fiát, Jézust	224	
Istenem, nem értem	87	
Itt állok előtted	93	
		
Járom a zarándok útjait	137	
Jer, alázd meg magad	104	1Pt 5,6
Jertek, ünnepeljünk	112	
Jézus Krisztusom	103	Zsolt 73,23-24; 139,5-6
Jézus szíve megbocsát	96	
Jézus vére oly csodálatos	110	
Jézus, Jézus, Jézus	64	
Jézus, Messiás	106	
Jézus, neved oly csodálatos	107	
Jézus, szeretlek	111	
Jézusomat követem	105	
Jézussal járok	97	
Jó Atyám, imádlak	99	
Jézus hív, hogy szabad lehess	100	Lk 4,18
Jó Atyám, kitárom a szívem	101	
Jó az Úr azoknak	109	JerSir 3,25-26.31-32
Jöjj az Úrhoz és vígan énekelj	113	
Jöjj Megváltódhoz	108	
Jöjj, hívunk, jöjj	98	
Jöjj, Izráel	102	Zsolt 130,7
Jöjj, Izráel, jöjj én mátkám	115	
Jövel, Uram	114	
		
Kedves barátom	118	
Kegyelem	122	Tit 2,11
Kegyelemből léphetünk be	123	
Kelj fel, lelkem	119	
Kész az én szívem	117	Zsolt 57,8-11
Két irdatalan fa összeróva	124	
Köszönöm, Jézus	121	
Krisztus újjáteremtett	120	
Krisztus Úr	125	
Küldd Szentlelked	127	
Küldj el, Uram	126	Ézs 6,8
		
Láttad-é	132	
Légy az Úr munkása	130	1Kor 15,58
Légy csendben	129	Zsolt 37,7
Légy jó vitéze Krisztusnak	135	2Tim 2,3-4
Légy Te az első	128	
Légy úr szívemben	136	
Legyen az Úr segítségül	131	
Lelkem kíván téged	134	
Lelkem, áldd az Urat	133	Zsolt 103,1
		
Magasztallak, hatalmas Isten	140	Zsolt 145,1
Még nem is éltem én	144	Zsolt 139,13-16; Ef 1,6
Megtört szívvel	152	Zsolt 51,3-5.12-13
Menjünk az Úr elé	146	Zsid 13,15
Méltó a Bárány	153	Jel 5,12
Méltó a Bárány, hogy vegyen erőt	142	Jel 5,12
Menjetek be kapuin	145	Zsolt 100,4
Mennyben hangzik a dicsének	150	
Mi Atyánk, Isten	141	Mt 6,9-13
Mi várjuk az Úr Jézust	147	Jel 1,7
Miket szem nem látott	149	1Kor 2,9
Mily szépek, Jeruzsálem	148	
Minden dicséret	138	Zsolt 34,2-3.5-9.11
Minden időben áldom	151	Zsolt 34,2-11
Minden szerinted legyen	154	Ézs 64,7b
Minden nap veled leszek	139	Ézs 41,10
Mint eltévedt bárány	143	Ézs 53,6; 1Pt 2,25
		
Ne bánkódj, testvér	163	
Ne dicsérjem-é az Istent	159	Zsolt 69,31
Ne félj	158	Ézs 41,10.13; 43,1
Ne félj, Sion	157	Zof 3,16-17
Nem a sír	116	Ézs 38,18-19; Zsolt 115,17-18
Nem erővel, nem hatalommal	155	Zak 4,6b
Nem hallod-e?	162	Zsid 3,15a
Nem lankad el	161	JerSir 3,22-23
Nézd meg az évszakokat	160	Zsid 13,8
Nosza, áldjátok	156	Zsolt 134
		
