Ahogy nézlek Téged	1	2Kor 5,1
Aki a holtakat megeleveníti	2	Róm 4,17
Ama szép hon felé	3	Jak 1,12
A Mester itt van	4	Zsolt 55,23
Amikor rád nézek, Jézus	5	Zsid 12,2
Amint vagyok	6	1Pt 1,19
A mi Urunk szent	7	Zsolt 99,9
A reményem csak Te vagy	8	Zsolt 71,5
A sír üres	9	Mk 16,1-8
A tegnap terhe	10	JerSir 3,23-24
Atyám a mennyben	11	
Atyánk, eléd járulunk	12	
A vakok látnak	13	Lk 7,22
Az ajtó előtt állok	14	Jel 3,20
Az Isten szeretete	15	Jn 3,16
Az Úr az erősségünk	16	Zsolt 18,3
Az Úr győz	17	
Az Úr irgalma végtelen	18	JerSir 3,22
Az Úr Jézusnak ma tárd ki a szívedet	19	Jel 3,21
Az Úr van itt	20	
Ábrahámnak sok fia	21	Gal 3,7
Áldásoddal megyünk	22	
Áldott legyen a frigy	23	
Áldott legyen a mi Urunk	24	Zsolt 113,2
Áldott legyen az Úr	25	Zsolt 18,47
Áldott légy, jó Atyám	26	Zsolt 145,2
Áldott szavad által	27	Jn 5,24
Áradj folyó	28	Jel 22,1
Átadom magamat teljesen	29	Mt 5,13
		
Benne van	30	
Boldog ember	31	Zsolt 32,2
		
Csak egy korty az Úr vizéből	32	Jn 4,13-14
Csak Istennél	33	Zsolt 62
		
Dávid egykor	34	1Sám 17,26-58
Dicsérd, dicsérd	35	
Dicsérem Neved	36	Ézs 25,1
Dicséri, áldja szüntelen	37	
Dicsérjétek az Urat	38	Zsolt 105,1-4
Dicsérjük Istent	39	
Dicsérlek, imádlak	40	
Dicső, nagy Király vagy	41	
Drága kereszt	42	1Kor 1,18
		
Egyedül csak Te vagy	43	Náh 1,7
Egykor oly kedves dolgok	44	Fil 3,7-8
Egymásnak terhét ha hordozzátok	45	Gal 6,2
Eljön Ő	46	Lk 12,43
Eljöttem, Istenem	47	Zsolt 139,23-24
Emberek vagy angyalok nyelvén	48	1Kor 13,1
Emeljük fel	49	
Emlékezzél meg	50	
Engedj Jézushoz menni	51	Lk 18,16
Engem szeret Jézusom	52	Róm 8,37-39
Erősségem nékem az Úr	53	
Este van	54	
Ez a szó: szeretet	55	1Kor 13,13
Ébredj fel, alvó	56	Ef 5,14
Égi Atyánk	57	
Éjjel, nappal	58	Zsolt 91,11
Élet Ura	59	
Élet van Tebenned	60	Jn 14,6
Én e földről	61	Jel 21,9-27
Én fel sem foghatom	62	
Én jól tudom: Megváltóm él	63	Jób 19,25
Én nem vagyok gyalogos katona	64	
Érezzétek és lássátok meg	65	Zsolt 34,9
		
Fel, mert közelg az éjjel	66	Jn 4,9
Fel, vígan ünnepelj	67	Zsolt 107,8
Fölveszem a dicséret köntösét	68	
Futunk, s nem lankadunk	69	Ézs 40,31
		
Gyere te is, áldjuk együtt	70	
Gyertek, dicsérjük együtt	71	Mik 4,2
		
Ha átadod Nékem a szívedet	72	
Hadd legyen	73	
Ha ezen a földön bármi ér	74	Józs 1,9
Ha Isten békéje lakja szívemet	75	Fil 4,7
Halleluja, él az én Uram	76	Zsolt 9,2
Halleluja, mindörökké él az Úr	77	
Halleluja Néked szól	78	
Halleluja, zengve zeng hálaének	79	2Kor 5,17
Hatalmas vagy	80	Zsolt 89,14
Hálát adva áldja Istent	81	1Thessz 5,16-18
Hinni taníts, Uram	82	Mt 7,29
Hisszük, meghallgat az Úr	83	Zsolt 40,2
Hív már az Úr	84	Jel 21,4
Hogyha este fenn az égen	85	
Hozzád száll az énekem	86	
		
Igaz, hogy Jézus értem halt?	87	1Tim 1,15
Imádlak, én Istenem	88	
Imádunk Téged, Istenünk	89	
Indul már a vonat	90	
Isten alkotta	91	1Móz 1
Isten Fia a földre jött	92	Zsolt 40,2
		
Jézusért élek egészen	93	2Kor 5,15
Jézus hív téged	94	Jel 3,20
Jézushoz jöjj	95	Mt 11,28
Jézus, hű Megváltó	96	Róm 8,15
Jézus, Isten szent Báránya	97	
Jézus, jöjj közénk	98	
Jézus Krisztus Úr	99	
Jézus neve fenséges	100	
Jézus, ó, Jézus	101	Fil 2,9
Jézus, szeretett Uram	102	
Jézus szeret minden kicsi gyereket	103	Mk 10,14
Jézus, Te vagy az Igazság	104	ApCsel 1,11
Jézus, térdet hajtunk	105	
Jézus, tiszta lényed nézve	106	
Jézus, ünnepeljük győzelmed	107	
Jézus, véred megtisztít	108	1Pt 1,18-19
Jézus visszajön	109	
Jó Atyánk, úgy szeretünk	110	Zsolt 18,2
Jó barátom a Nap	111	Jób 31,26
Jó dolog az Úr nevét dicsérni	112	Zsolt 92,2
Jó Pásztorom	113	Zsolt 23
Jöjj, ajánljuk fel	114	
Jöjj a Szentek Szentjébe	115	
Jöjjetek és menjünk Elébe	116	
Jöjjetek, örvendjünk az Úr előtt	117	Zsolt 95,1-6
Jöjj, ha éhes vagy	118	Jn 6,35
Jöjj, Szent Szellem	119	Jn 7,38-39
Jöjj, térj meg Jézushoz	120	ApCsel 17,30
Jöjj, vígan énekelj velünk	121	Zsolt 96,2
		
Kelj fel, mert végleg győzött az Úr	122	
Kérd Tőlem	123	
Kicsiny kis fényemmel	124	Mt 5,16
Kicsiny lettél értem	125	Fil 2,7
Kicsi vagyok	126	Mt 18,3
Kis szívem kis szoba	127	Mt 5,15-16
Kis telefonom van nekem	128	
Könyörgünk nyugalmadért	129	Ézs 62,1
		
Legdrágább kincsem	130	Lk 10,20
Lelkem várja az Urat	131	Zsolt 130,5-6
Lent a Via Dolorosán	132	
Légy Jézus Krisztus harcosa	133	Ef 6,11-13
		
Magára vette szennyes ruhámat	134	
Meggyógyítod, aki szenved	135	Mt 5,6
Meghallottam lágy szavad	136	Zsolt 16,9-11
Meglátni Jézust	137	2Kor 3,18
Megtört a teste	138	1Kor 11,26
Megváltóm, oly boldoggá tettél	139	Zsolt 63,4
Méltó a Bárány	140	
Méltó vagy, Istenünk	141	Jel 5,12
Mikor vízen mégy át	142	Ézs 43,2
Mily drága nekünk ez jó hír	143	2Kor 12,9
Mily kedves látni	144	Ézs 52,7
Mily szép, és milyen gyönyörű	145	Zsolt 133
Minden gyermek mondja: hozsánna	146	Jn 12,13
Minden, mi él, csak Téged hirdet	147	Zsolt 19,2-5a
Mindörökké hű az Úr	148	Zsolt 100,5
Mint az asszony	149	Mt 9,20-22
Mint bárány nyírói előtt	150	Ézs 53,7
Mint szarvas	151	Zsolt 42,1
Mutasd meg, Uram	152	
		
Nagy Istenem	153	Zsolt 145,3
Nagy Király	154	Jel 17,14
Nagyon szeret engem Jézus	155	2Kor 12,9
Ne félj, ne aggódj	156	2Kor 12,9a
Néha együtt vagyunk	157	Zsolt 35,18
Néked hódolok	158	
Nincs helyed Jézus számára?	159	Jel 3,20
Nyisd meg szemed	160	
		
Olvasd egyre szent Bibliád	161	Józs 1,8
Olyan szent a föld	162	
Oly jó az Úr	163	
Oly jó tudni	164	Jn 10,28-29
Oly szép az égi szeretet	165	
Oly szép az Ő neve	166	
Ott akarok lenni, ahol Te vagy	167	Zsolt 63,2-4
Ó, áldd Isten nagy kegyét	168	Fil 2,6
Ó, jöjj szívembe, áldott Jézus	169	
Ó, kérlek, tisztíts meg engem	170	Zsolt 51
Ó, mily csodálatos	171	Zsolt 139,1-6
Ó, ne hagyj magamra, Jézus	172	
Óóóó... szívemben itt a menny	173	Lk 17,21
Ó, terjeszd ki, Jézusom	174	Zsolt 17,8
		
Örökké dicsérem	175	Zsolt 145,1-2
Örömmel, szívből	176	Zsolt 28,7
Örülj, örvendj, énekeljél	177	Zsolt 97,12
Örvendezek, énekelek	178	
Örvendjetek, dicsérjétek az Urat	179	
Ő az Úr	180	Fil 2,6-11
Őrá bízom magamat	181	Jn 16,33
Őrhelyemre állok	182	Hab 2,1
		
Pillangó ha lehetnék	183	Róm 8,16
		
Rád tekint már hitem	184	Zsid 12,2
Réges-régen Betlehemben	185	
		
Szárnyaid alá rejtőzöm	186	Zsolt 91,4
Szentlélek Isten, jöjj szívünkbe	187	Lk 11,13
Szent ruháját adta	188	
Szent színed elé járulunk	189	
Szent vagy, jó Atyám	190	Ézs 6,3
Szent vagy, ó, Urunk	191	
Szent vagy, szent vagy, szent, szent	192	
Szeretlek, Jézusom	193	Jn 21,15-17
Szívből köszönöm, Uram	194	
Szívem csendben az Úrra figyel	195	JerSir 3,26
Szolgálni néked	196	
		
Találkozni jöttem Veled	197	
Taníts, Uram, meghajlani	198	Jk 4,10
Te csak az Istennek országát keresd	199	Mt 6,33
Terád vár egy szép ország	200	Jn 14,1-3
Te vagy a kősziklám	201	Zsolt 18,3
Te vagy méltó, ó, Istenünk	202	
Tégy engem békeköveteddé	203	2Kor 5,18
Tiéd a hatalom	204	2Krón 20,6
Tudjátok meg, hogy az Úr az Isten	205	Zsolt 100
Tudom, az Úrnak terve van velem	206	Jer 29,11
		
Urad vagyok, és gyógyítód	207	2Móz 15,26
Uram, én szeretlek	208	Zsolt 18,2
Uram, Igéd éltet	209	Ézs 55,10-11
Uram, imádlak	210	Zsolt 19,2; 145,1
Uram, itt vagyok	211	Ézs 40,31
Uram, Tehozzád futok	212	Zsolt 71,14-15
Úgy szeretnék én szent lenni	213	1Pt 1,16
Úgy szerette Isten	214	Jn 3,16
Újra itt a szép karácsony	215	Ézs 9,5-6
Új szívet adj, Uram énnekem	216	Ez 36,26
Úr Jézus, Megváltóm	217	
Úr Jézus, nézz le rám	218	
Üdvözítőm szeret engem	219	Zsid 4,15-16
Üdvteli érzet: Jézus enyém	220	
Ünnepeld Jézust	221	
		
Vakot gyógyít	222	Lk 7,22
Van egy barátom: Jézus	223	Jn 15,15
Van egy folyó a szent városban	224	Jel 22,1
Van egy ország	225	Fil 3,20
Vágyom veled lenni	226	
Vártam egy ajándékot	227	2Kor 9,15
Vezess engem ösvényeden	228	Zsolt 23,3
Vizsgálj meg	229	Zsolt 139,23-24
Vonj magadhoz, ó, Uram	230	
