A gyengének erőt adott	7
A kereszt mondta el	2
A kereszthez jövök	1
A ködön át	3
A mennybe' fenn	13
A nap, a hold és a csillagok	4
A napkeltétől	5
Adj imádó szívet	6
Ajtódon valaki kopog	8
Aki Istent szereti	9
Áldlak Istenem	10
Áldjad lelkem	11
Alleluja	12
Amiért megváltottál	15
Amit elvett a Sátán...	14
Annyi mindent hordozunk	16
Aranyszárnyú angyal	17
Az Atya olyan	18
Az égbolt megnyílik	19
Az első örömhírt	20
Az Úr az én pásztorom	21
Az Úré minden hatalom	22
Barátom lettél	24
Biztosan tudom	23
Bízz az Úrban	25
Boldoggá tettél	26
Csak a Bárány vére által	27
Csendesítsd le szívemet	28
Csillag gyúlt	29
Dicsérd	30
Dicsérem Őt szentélyében	31
Drága Felség	33
Drága Szentlélek jöjj	32
E zord időben	52
Ébredés (Almomban messze jártam)	34
Ébredés (Amilyen érték...)	36
Ébredj	35
Egy életen át	37
Egy forró nyári éjjel	40
Egyet kérek az Úrtól	39
Egyet kérek Tőled	38
Élet jó kenyere	41
Életünk Krisztus	42
Elhiszem	43
Eljött hozzám	45
Elveszett bárányod vagyok	44
Emlékszem	46
Én Istenem, Benned bízom	48
Én még mit sem tudtam Rólad	47
É-oh	49
Érezd és lásd	50
	
Ez az a dal	51
Fejet hajt a mindenség	54
Felállok, hogy dicsérjelek	53
Fenn a mennyben	55
Fénye megtörte az éjt	56
Fényed (Mit árt ember nekem...)	57
Följebb minden hatalomnál	58
Fúj már a szél	59
Glória száll	60
Gyertek velünk	61
Gyertyaláng	62
Győzelmi dal	63
Ha majd a nappal véget ér	64
Ha mástól már segítség nem jő	65
Ha rád gondolok	66
Hadd haljam	67
Halál völgye ott már nem lesz	68
Hálával áldozom	69
Harcos	71
Hegyeket látsz megmozdulni	72
Hitben járok	70
Hozzád jött ma	74
Hozzátok a hálának áldozatát	73
Igéd szabadság	75
Imádat szárnyal	76
Imádkozzatok és buzgón kérjetek	77
Íme az Isten sátora	78
Íme mily jó	79
Indulj a harcba	80
Isten Báránya, Isten Báránya	81
Isten jó mindenkor	82
Isten szeret, örvendj hát!	83
Isten trónusához lépünk	84
Itt állunk színed előtt	85
Jelenléted erőt ad nekem	86
Jézus Krisztus itt van	89
Jézus szeretlek	95
Jézus szívedbe lát	91
Jézus te égi szép	92
Jézus Úr a mennyben	96
Jézus, Jézus felkent király	87
Jézus, jövök hozzád	88
Jézus, ó Jézus	90
Jézus, Te légy a középpont!	93
Jézusom, áldozatodra gondolok	94
Jobb egy nap a Te házadban	98
Jöjj és ünnepelj	97
Jöjj hát ünnepelni	99
Jöjj Szentlélek	100
Jöjj velünk	101
Jöttünk énekelni Neked	102
Jövök a kereszthez	103
Kegyelme árad rám	104
Kegyemed jobb az életnél	106
Kegyelmed Úr Jézus	105
Kenyered és borod	107
Keressétek az én orcámat	108
	
Kerestem, kutattam	109
Ki ér fel Veled?	110
Ki olyan, mint Ő?	112
Ki vagy Te?	114
Kik az Úrban bíznak	111
Királyi törvény	116
Kitárom szívem ajtaját	113
Kiválasztottál	115
Lásd Ő jön	117
Látni fogom	118
Lejött az égből	119
Lelkünk az Urat várja	120
Ma csak álmodom arról	122
Magyányos voltam	121
Meg vagy-e tisztulva?	129
Megérintetted a szívemet	123
Meghalt az Úr	124
Megszólított	125
Menjünk együtt az Úr elé	126
Menjünk fel	127
Mennyei Mester	128
Messziről száll dalunk	130
Miért szolgálnék másnak?	131
Mily szent öröm	133
Minden lélek	135
Minden nap	136
