1	A Krisztus él	
2	A Krisztus mennybe felméne	
3	Áldásoddal megyünk	
4	Áldjon meg téged	4Móz 6,24-26
5	Áldott légy, jó Atyám	
6	Áldott légy, mert megváltottál	
7	Áldott szavad által	
8	Amint vagyok	
9	A napfelkeltétől	Zsolt 113,1-3
10	A napkeltétől	Zsolt 113,1-3
11	A tegnap terhe	
12	A Te nevedben	
14	Atyám, két kezedben	
13	Ausgang und Eingang	
15	Az Úr az én jó pásztorom	Zsolt 23
16	Az Úr csodásan működik	
17	Az Úr gondol ránk	
18	Az Úr Jézusnak ma tárd ki a szívedet	
19	Az Úr jósága, hogy még élünk	JerSir 3,22-23
20	Az Úrtól béke tereád	
21	Az Úr van itt	
		
22	Be still and know	Zsolt 46,10
23	Boldog ember	Zsolt 32
		
24	Csak nyisd ki a szíved	
		
25	Drága Szentlélek, jöjj	
		
26	Ébredj, bizonyságtévő lélek	
27	Édesatyám, tiéd az ég	
28	Egy hangszer hadd legyek	
29	Egymásnak terhét	Gal 6,2
30	Éjjel, nappal	
31	Életutam	
32	Elindulunk égő szívvel	
33	El Shaddai	
34	Emberek vagy angyalok nyelvén	1Kor 13
35	Emlékezz meg Teremtődről	
36	Én lelkem, zengj szép zsoltárt	
37	Erdő mellett estvéledtem	
38	Esdve kérlek, jó Atyám	
40	Este van, imádkozzunk	
39	Ez az a nap	Zsolt 118,24
		
41	Felséges vagy, Uram	
42	Földön és égen	
		
44	Give thanks	
43	Glória szálljon a mennybe fel	
		
45	Hála, hogy itt a csendes reggel	
46	Hálát adok Néked	
47	Hálát adok, Uram, az életért	
48	Hálát adunk, jó Istenünk	
49	Halleluja, áldd az Urat	
50	Halleluja, zengve zeng hálaének	
51	Hallottál-e arról	
52	Ha megvallom bűneimet	1Jn 1,9
53	Hinni taníts, Uram	
54	Hiszek, Uram	
55	Hív már az Úr	
56	Hozzád jövünk, Uram	
57	Hozsánna, hozsánna	
58	Hűséged végtelen	
		
59	Így szól ma tehozzád Jézus	
60	I love you, Lord	
61	Imádkozzatok és buzgón kérjetek	
62	Ím nagy Isten	
63	Irgalmazz, Úr Isten	
64	Isten élő Lelke, jöjj	
65	Istenem, nem értem	
66	Isten hív, te el ne küldd	
67	Isten szívén megpihenve	
68	Itt állok jászolod felett	
69	Itt az este	
70	I will stand in the congregation	
		
71	Jézus, dicsőség Néked	
72	Jézus hű Megváltó	
73	Jézus Krisztus értem halt	
74	Jézus, jöjj közénk	
75	Jézus, neved oly csodálatos	
76	Jézus neve fenséges	
77	Jézus, te égi szép	
78	Jézus, tiszta lényed nézve	
79	Jézus visszajön	
80	Jó Atyám, imádlak	
81	Jöjj, az Úr vár reád	
82	Jöjj az Úrhoz	
83	Jöjj hozzám	
84	Jöjj, Izráel, ne félj	
		
85	Krisztus az énekem	
86	Krisztus, ki vagy	
87	Krisztus testének tagja	
88	Küldd Szentlelked	
		
89	Lobt den Herrn	
		
90	Magára vette szennyes ruhámat	
91	Magasztallak Téged, Isten	
92	Maradj velem	
93	May we be a shining light	
94	Megváltóm, hallottam hangodat	Zsolt 27
95	Megváltva!	
96	Mely igen jó	
97	Menjetek be kapuin	Zsolt 100,4
98	Messziről száll dalunk	
99	Minden, mi él	
100	Mindörökké hű az Űr	
101	Mint szarvas	Zsolt 42
102	Most ujjongjon a szívünk	Zsolt 100
		
103	Nagy Király	
104	Nagy vagy, te, Isten	
105	Ne félj, mert enyém vagy	Ézs 43,1
106	Ne félj, ne aggódj	
107	Néha együtt vagyunk	
108	Nem lesz egyedül szívem	
109	Nézd meg az évszakokat	
		
110	Nyisd meg a szemem	
		
111	Ó, halld meg imám	
112	Olyan békét, mint a folyó	
113	Oly szép az Ő neve	
114	Ó, mily hű barátunk, Jézus	
115	Ó, Sion, ébredj	
116	Ó, terjeszd ki	
		
117	Ő az Úr	
		
118	Paizsa szegény fejemnek	
		
119	Semmi felől ne aggódjál	Fil 4,6-7
120	Soha nem fél már a szívem	
		
121	Szelíd szemed, Úr Jézus	
122	Szentlélek Isten, jöjj szívünkbe	
123	Szívemnek mélyén	
124	Szolgálj vigadozva	
		
125	Taníts, Uram, meghajlani	
126	Te csak az Istennek országát keresd	Mt 6,33
127	Tégy eggyé, Urunk	Zsolt 133
128	Tégy engem békeköveteddé	
129	Tégy, Uram, engem áldássá	
130	Teremts bennem tiszta szívet	Zsolt 51,12-14
131	Tudom, az Úrnak terve van velem	
132	Tüzed, Uram, Jézus	
		
133	Új szívet adj	
134	Uram Isten, bemutatom	
135	Uram Jézus, oly jó rólad hallani	
136	Uram Jézus, szeretlek	Zsolt 116,1
137	Uram, közel voltam hozzád	
138	Úr Jézus, taníts meg örülni	
		
139	Válasszatok, addig míg tart a ma	Józs 24,15
141	Vonj magadhoz, ó, Uram	
		
140	We believe	
		
142	Zengen hálaének	
143	Zengj halleluját	
