A béke messze tőled	326		+	
A bűn, a bűn, a bűn	327		+	
A dicső Golgota (Sok országot bejártam)	2		+	
A gecsemánéi kertből	4		+	
A Golgotán	5	*		
A jászolban ki az ott	7	*		
A keresztfához megyek	8		+	
A keskeny úton	219		+	
A mélyből hozzád száll szavam	328		+	
A mélyből kiáltok	220		+	
A mennyben fent	329		+	
A mennyben otthonom	330	*		
A nagy mélységből szüntelen	218	*		
A Szentlelket ne űzzed el	13	*		
A tegnap terhe	14		+	
Abbá, mennyei Atyám	224		+	
Ad ébredést az Úr	1		+	
Add tudnom, amit értem	331		+	
Adj még több erőt	332		+	
Adj új erőt, Urunk	3	*		
Ahol ott a Jézus	6	*		
Ajtódon valaki kopog	333		+	
Aki ezt a nagy világot 	334		+	
Áldásoddal megyünk	335		+	
Áldd meg édes Istenünk	228		+	
Áldjon meg téged	336		+	
Áldott az Úr!	337	*		
Áldott légy, mert megváltottál	19		+	
Áldott szavad által	20		+	
Áll a szikla mindörökké	338	*		
Ama szép hon felé	9		+	
Ameddig Jézus él	10	*		
Amint vagyok, sok bűn alatt	11	*		
Amit szívünk esdve kér	12	*		
Atyám két kezedben	221		+	
Atyám, én imádlak	225		+	
Az áldott orvos közeleg	15	*		
Az egyháznak a Jézus	16	*		
Az életem ajtaján	339		+	
Az éltem Jézus nélküled	18		+	
Az ételért, az italért	226		+	
Az írás széjjel tépve	17	*		
Az Isten Bárányára	21	*		
Az Úr a pásztorom	227		+	
Az Úr az én Pásztorom	340		+	
Az Úr csodásan működik	223	*		
Az Úr csodát tesz	341		+	
Az üdv, mit Krisztus Jézus ad	342	*		
Azért jött Jézus	22		+	
Azt az éltet vágyom élni	222	*		
				
Bár bűn és kín gyötör	23	*		
Bár szent tüzed	25	*		
Bár valóban Krisztus élne	24		+	
Barátom lettél	343		+	
Bízom Benned, Uram Jézus	229	*		
Boldog ember az	344		+	
Boldog madár, rá fészke vár	345	*		
Boldog öröm	26		+	
Boldogság szép hazája	28	*		
Bú, gond ekéje szánt	230	*		
Bűneid ha bántanak	346		+	
Bűneimben elmerülten	347		+	
Bűnös a nevem	27		+	
Bűnös vagyok	29	*		
				
Csak az Úrnak nagy kegyelme	348	*		
Csak benned	231		+	
Csak pillanat létünk	349		+	
Csak vezess, Uram végig	232		+	
Csak vidáman	350	*		
Csak zengje, zengje	30	*		
Csend van bennem	34		+	
Csendes éj	31	*		
Csendes este	33	*		
Csendes légy	233	*		
Csodálva, imádva tekintek	32	*		
				
Dalolja a szívem örömmel	35		+	
Dicsérem neved	351		+	
Dicső Király	36	*		
Dicső személyed	352	*		
Dicsőség Néked, irgalmas Isten	353		+	
Drága dolgok szólnak rólad	354		+	
				
Ébredj, bizonyságtévő Lélek	235	*		
Égi Atyám	236	*		
Égi harsonák, ha zengnek	42		+	
Egy az Úr, egy a hit	355		+	
Egy az utunk	356		+	
Egy szív érettem dobogott	357		+	
Egyetlen forrása	37	*		
Egyszerűen hitben élj	358		+	
Éjszaka kívül	43		+	
Eldőlt a szívemben	359		+	
Elég a kegyelmem	38	*		
Elég az ő kegyelme rég	360		+	
Életem csak kegyelem	46		+	
Életem Jézus, egyedül Te	44		+	
Eljön az Úr	39	*		
Eljött hozzám	361		+	
Elnémul egyszer énekem	40	*		
Élted rövid	45	*		
Eltévedtem, mint juh	362		+	
Én még mit sem tudtam	363		+	
Én nem tudok nélküled élni	47		+	
Én zörgetek	237	*		
Énekeljünk az Úr szent ajándékirul!	364	*		
Engem szeret Jézusom	41	*		
Erőt adsz minden helyzetben	365		+	
Értem megfeszítve	48	*		
Ez a nap, mit az Úr	366		+	
Ez az a nap	234		+	
				
