61	Adjatok hálát az Istenek		
5	Adjunk hálákat az Istennek		
62	Adjunk hálát, hálát az Úrnak		
56	Adjunk hálát mindnyájan		
6	A fénylő napsugár		
38	A halál meggyőzőjének		
51	A jászolban ki az ott?		
26	A ki értem megnyilál		
39	A Krisztus feltámadott		
63	Áldjad az Urat		
64	Áldjuk, áldjuk Jézust		
52	Áldlak énekben		
13	Áldott legyen, ki jön az Úr nevében!		
65	Áldott légy Krisztus, e világnak Ura!		
27	Áldott légy, oh drága Jézus		
45	A mennyben van legjobb barátunk		
7	Angyali seregek		
66	A Sionnak hegyén		
98	A szent igazság mellett		
99	A szeretet hatalmát áldom		
182	Atyám, Te adtad nékem őket		
100	Az áldott orvos közeleg		
15	Az Istennek szent angyala		
101	Az Úr énnékem őriző pásztorom		
197	Az Úr Jézus Krisztus kegyelme		
			
102	Bízzál, lelkem		
28	Buzditsd fel, Uram! lelkemet		
103	Buzdulj, szívem, szeretetre		
			
104	Csak vesd gondodat		
67	Csak zengjetek		
105	Csend, békeség		
16	Csendes éj		
8	Csillag az égen		
			
29	Dícsérd, lelkem, Istenedet		
68	Dicsérjétek! Halleluja!		
164	Dicsérlek, Uram, Tégedet		
69	Dicsér Téged teljes szívem		
2	Dicsőség mennyben Istennek		
9	Dicsőült helyeken, mennyei paradicsomban		
70	Drága Jézus, áldom magasztos nevedet		
			
106	Egy a nyáj s egy pásztor csak!		
107	Elfáradva, megterhelve		
71	Eljő az Úr, Halleluja!		
108	Elmegyek, hadd megyek		
109	Előttem tárva egy kapú		
40	Énekeljünk és vigadjunk		
110	Engem szeret Jézusom		
111	Én irgalomban részesültem		
112	Erős várunk az Úr Isten		
			
169	Fáradt vagyok, lenyugszom		
113	Fel, barátim		
190	Feljebb emeljetek, feljebb		
114	Fel Jézusért, fel bátran		
185	Fel, mert eljő az éjjel		
191	Feltámadsz, feltámadsz egykoron		
192	Fenn, a csillagok felett		
			
72	Győzhetetlen, én kőszálom		
			
115	Ha csak Jézus enyém		
116	Hadd jőjjenek hozzám a kisdedek!		
165	Hálát adok néked, mennybeli Isten!		
17	Halld, mint zeng az egész ég		
73	Hallgasd meg, Uram kérésem		
193	Ha Megváltónk eljön		
117	Haragodnak nagy voltában		
118	Harang szól a mennyben		
74	Házadba jöttünk		
119	Hit nélkül nincs élet		
120	Hittel rád tekintek		
121	Hívásodra, Uram		
170	Hogy alhatnám nyugodtan		
57	Hogy van a régi ige		
25	Hozsanna, oh hozsanna!		
			
75	Igaz bíró, itélj meg, Istenem!		
162	Ím, ma az egész égbolt		
166	Imádásod, Uram! legyen		
76	Imádkozzatok és buzgón kérjetek!		
184	Isten álld meg a magyart		
3	Isten, Atyánk, hálát adunk		
77	Istenem, Te hozzád		
122	Isten küldte drága szózat		
123	Isten szeretet		
176	Itt az uj év		
194	Itt sok fájdalom, sírás		
124	Itt van szívem!		
			
1	Jehova		
125	Jelszavunk: Előre!		
78	Jer, dicsérjük Istent!		
30	Jer, lássuk az Úr keresztjét		
41	Jézus én bizodalmam		
126	Jézusért élek		
127	Jézus, fényes napom		
42	Jézus, ki a sírban valál		
31	Jézus, napjaid eljöttek		
128	Jézus ölébe bizton		
79	Jó Istenünk, hő imánkkal		
198	Jól vagyon		
130	Jó pásztorunk van nékünk		
129	Jőjj Jézushoz, gyermekem		
53	Jövel, legfőbb Vigasztalónk		
54	Jövel, Szent Lélek, szállj réánk		
55	Jövel, Szent Lélek, Úr Isten!		
			
131	Kegyes Jézus! én imádságomra		
58	Kegyes Jézus, itt vagyunk		
132	Keresztyén vándor, ne félj már		
133	Ki az, ki az, ki kopog?		
