A bölcs a házát	201		
Adjon Isten... bevégeztük	46		
Adjon Isten... küldje	47		
Ahol ott van Jézus	143		
A jó Pásztor juhait	140		
Ajtódon valaki kopog	97		
Akik Istent szeretik	141		
A kis virágnak illatot	90		
Ama szép hon felé	250		
Ameddig Jézus él	146		
A mennynek az ablaka	147		
Angyalok kara zengi	5		
A pataknál	62		
A szeleknek lengő szárnyán	6		
A szív gonosz	98		
A tanítás véget ért már	178		
A templomban nem kerülöm el	179		
Atyám, én imádlak	63		
Atyánk, kinek magasságban	64		
Az ajtó én, csak én vagyok	187		
Az áldott orvos	127		
Az ételért, az italért	255		
Az óesztendő elmúlt	37		
Az Úr a pásztorom	144		
Az Úr az én hű pásztorom	145		
Az Úré a hatalom	188		
Az Úr kopog	99		
Az Úr mindent lát	189		
Az Úr nagyon szeret	148		
Az Úrnak szóljon	128		
			
ÁBÉCÉDÉ	190		
Áldd meg, édes Istenünk	256		
Áldjad lelkem, áldjad eletem	65		
Áldjuk a mennyei Atyát	66		
Áldott örömidő	7		
Állj! Elmondom néked	120		
Áronnak vesszeje megvirágozék	8		
			
Béküljetek meg Istennel	101		
Bim-bam, bim-bam	9		
Bízom benned, Uram Jézus	151		
Bűnös a nevem	133		
			
Csak parittya	202		
Csendes éj	10		
Csillagfényes éjszakán	11		
Csirip, csirip	48		
			
Dicsérd Istent, föld és ég	67		
Dicsérd, Sion, Megváltódat	68		
Dicsőség mennyben az Istennek	12		
Dicsőség néked, Istenünk	39		
Dobban a szívünk	1		
			
Egy kapu, csak egy van	191		
Egy szív érettem dobogott	167		
Egy út vezet	192		
Eldőlt a szívemben	134		
Engem szeret Jézusom	193		
Erdő mellett estvéledtem	49		
Ez az a nap	3		
			
Éjszaka árnya	13		
Éjszaka kívül	50		
			
Fáradt vagyok	51		
Fel, barátom, drága Jézus	168		
Felvirradt áldott szép napunk	40		
Fenn a csillagok felett	69		
Fenn a mennyben	251		
Fenn a menny egy	252		
Főember az úton	203		
Fú a szél	42		
			
Gyermekek, jöjjetek	100		
Gyermek vagyok én	135		
Gyerünk, nosza hát	102		
			
Ha a reggel ránk virrad	52		
Ha az égen csillag gyullad	53		
Hadd zengjen énekszó	14		
Halld, egy bárányt ismerek	136		
Halld, halld! Jézus szeret	194		
Halld meg a hívást	103		
Halld, Megváltód hív	104		
Halld, valaki kopog	105		
Hallelu... Jézus Krisztus vár	70		
Hallelu... Jézust dicsérd	71		
Hallottad-e már	72		
Ha Sátán kísért	226		
Ha te Jézust követed	169		
Hiszek én	221		
Hisszük, meghallgat az Úr	149		
Hívő hitem	222		
Hogyha Jézus újra eljön	253		
Hogyha kél a hajnal pírja	54		
Hűn könyörgött Dániel	204		
			
Igéje szól, Igéje hív	180		
Imádkozz minden reggel	55		
Indul már a vonat	107		
Istenem mondta ezt	150		
Istenéhez Dániel	230		
Itt az este	56		
Itt az írás, Dániel	206		
			
Így szól ma tehozzád Jézus	129		
Így szólt Isten egykor	205		
Ím, ma az egész égbolt	181		
			
Jászol-ágyban ki az ott	15		
Jertek, énekeljünk	87		
Jertek, jertek, áldjuk Jézust	78		
Jézus a gyermekbarát	108		
Jézus a jó Pásztor	154		
Jézus az életem Megváltója	155		
Jézusban bízz	170		
Jézus erre jár	110		
Jézus, égi szeretet	137		
Jézus hív, bár	109		
Jézushoz jöjjetek	106		
Jézus hű marad	152		
Jézus kopogtat a szívem	111		
Jézus kopogtat, gyertyát gyújtogat	112		
Jézus Krisztus erre megy	113		
Jézus Krisztus megszabadított	153		
Jézus Krisztus, szép fényes	240		
Jézus Krisztus tegnap és ma	195		
Jézus, nyájas	241		
Jézusról, csak róla	224		
Jézusról szól énekem	79		
Jézussal élni, ó, de jó	76		
Jézus szól	231		
