Adjatok hálát az Istennek	10	Zsolt 105	
A jó pásztor juhait	28		
Aki magát felmagasztalja	17		kánon
A liliomnak illatot	69		
Atyánk, kinek magasságban van királyi széked	72		
Az áldás felülről száll	54		
Az ifjú könnyen téved el	84		
Az Úr az én hű pásztorom	76	Zsolt 23	
Az Úr énnékem őriző pásztorom	1	Zsolt 23	
Az Úr csodát tesz még ma is	66	Ézs 35	
Az Úr kopog, ne várj	46		
Az Úr közel	35	Fil 4,5	
Az Úrnak irgalmát örökké éneklem	8	Zsolt 89	
Az Úrnak megváltottai	81		
Az Úrnak szentséges tekintete	58		
Az Úr szent hegyén nagy az Ő neve	67	Ézs 6,3; 12,6	
			
Bevádolt sáfár	74		
Békét adj Istenünk	23		kánon
Béküljetek meg Istennel	33	2Kor 5,20	
Boldogok, akiknek szívük tiszta	18		kánon
			
Csak bízzál, ki téged	51		
			
Dícsérjétek az Urat, mert nagy	11	Zsolt 107	
Dícsérjétek az Urat, mert Ő	14	Zsolt 136	
Dícsérjük Istent minden nap	75		
			
Eljő az Úr, eljő hamar	37	1Thessz 4,16-17	
Énekeljetek minden népek	9	Zsolt 96	
Én lelkem zengjed	68	Zsolt 103	
			
Ha az Úr szomorít	82		
Hogyha nem találom békességemet	71		
Hozzád jövünk	61		
			
Időnk fut egyre sebesen	49		
Igy szól ma tehozzád	24		kánon
Itt a földön nincs az én országom	80		
			
Jézus a mi békességünk	60	Fil 2,15; Ef 2,14-15	
Jézus békességet ad	19		kánon
Jézus égi szeretet	53		
Jézus kopogtat a szívem ajtaján	34	Jel 3,20	
Jézus Krisztus megszabadított	20		kánon
Jézusról szól énekem	70		
Jöjj el Uram Isten, szent Igéddel	36		
Jöjjetek Hozzám, jöjjetem mind	30		
Jöjj Jézushoz, jöjj Hozzá hamar	29		
			
Kiáltó szózat a pusztaságban	44	Ézs 40,3	
Krisztus hivása hangzik	31		
Krisztus képében, áldott követségben	43	2Kor 5,20	
			
Lélek fuvalma jöjj	79	Ez 37,9; Jn 3,8	
Lépésről lépésre	15		kánon
			
Megismerni Téged	38	Jn 17,3	
Melyik utra térjek	45		
Még ma, még Jézus hív	27		kánon
Mindennap új lapot kezdhetünk	77		
Mint a szép hives patakra	4	Zsolt 42	
Mi segítségünk az Úr nevében	22		kánon
Mossál meg engem	55		
			
Nálad Jézus, örökélet	16	Jn 6,68-69	kánon
Nem az enyém a napom	73		
Nem messze vagy Isten országától	32	Mk 12,34	
Nem vágyom másra	83		
Nem vethetek más alapot	57	1Kor 3,11	
Nékem az élet Krisztus	78	Fil 2,11	
Nincsen szebb név	63		
No minden népek, örvendezzetek	5	Zsolt 47	
			
Ó érthetetlen kegyelem	65		
Ó, mely boldog az oly ember	3	Zsolt 32	
Ó Uram, állíts helyre	56	Zsolt 80	
			
Örvend a kietlen	48	Ézs 35	
Örvendezzetek az erős Istennek	7	Zsolt 81	
Örvendj pusztaság	50	Ézs 35	
			
Rád bízom, Uram, magam	86		
Reménységem Te légy nékem	21		kánon
			
Semmi felől ne aggódjál	85	Fil 4,6-7	
Sionból eljön a Szabadító	59	Zsolt 53,7	
Sűrű sötét van mindenfelé	42		
Szinezüst és szinarany	47	1Pt 1,18-19	
Szívemet Hozzád emelem	2	Zsolt 25	
Szívem lelkem, szivem lelkem	26		kánon
Szívem, mért kétkedel	64		
Szólj hozzám, szólj ma, Istenem	40		
			
Te csak az Istennek országát	25		kánon
Tehozzád teljes szívből	12	Zsolt 130	
Térded, fejed hajtsd meg Neki	41		
			
Uram ugy szeretnék sokat tudni Rólad	39		
Úr Isten kérlek, kegyelmezz nékem	6	Zsolt 51	
Úr Jézus, Úr Jézus Téged várlak	62		
Úrnak szolgái mindnyájan	13	Zsolt 134	
			
Van itt egy gyermek és öt kenyér	52	Jn 6,9	
