szám	cím		szöveg (és dallam)	dallam
6	Abbá, mennyei Atyám		Peres Imre, Vajda Péter	
25	A szívem, Jézus, már a Tiéd		Füle Lajos	
22	Dalold el, madárka		Vándor Gyula	
15	De kék az ég		?	
23	Elég az Ő kegyelme rég		Füle Lajos	
24	Jó, jó olyan jó		Vándor Gyula	
47	Ki vagy és milyen		Vándor Gyula	
65	Minek is élek		Vándor Gyula	
1	Olyan jó élni Isten műhelyében		Túrmezei Erzsébet	Bartha Tibor
3	Te vagy, Aki mindig velem jártál		Füle Tamás	
29	Tégy, Uram, engem áldássá	OB 1 (2. nélkül)	Füle Lajos	
64	Újra napfény ragyog	OB 1 (2. nélkül)	?	
7	Üzeneteidet (Reggeli fohász)		Füle Lajos	Kissné Füle Judit
33	Vágyom, hogy a fény legyen úr		?	
2	Véred lelkem ára		Füle Lajos	
16	Zöld mezőkön		?	
