A bolond így szól az ő szívében	14
A bolond így szól az ő szívében	53
A bűnből hozzád sietek	179
A csillagos égnek seregei ott fent	248
A gonosztévőnek dolgán	36
A Krisztus mennybe felméne	358
A Krisztust megfeszíték	354
A mi szívünk csak tehozzád	227
A nagy Király jön, hozsánna	331
A nap immár elenyészett	504
A nap immár felvirradván	491
A Pünkösdnek jeles napján	374
A Sionnak hegyén Úr Isten	65
A töredelmes szívet	180
Adj békességet Úr Isten	192
Adj Úr Isten nékünk Szentlelket	246
Adjatok hálát az Istennek	105
Adjatok hálákat az Úrnak	118
Adjunk hálákat az Atya Istennek	199
Adjunk hálát az Úrnak, mert érdemli	501
Adjunk hálát megtartó Istenünknek	505
Adjunk hálát mindnyájan	378
Aki a felséges Úrnak	91
Aki értem megnyíltál	458
Aki nem jár hitlenek tanácsán	1
Akik bíznak az Úr Istenben el nem vesznek	423
Akik bíznak az Úr Istenben nagy hiedelemmel	125
Amint vagyok, sok bűn alatt	460
Atya, Fiú, Szentlélek, készíts	174
Atya, Fiú, Szentlélek, teljes	159
Atya Úr Isten, könyörülj rajtam	219
Atya Úr Isten, rólad vallást tészek	250
Az egek beszélik	19
Az egyháznak a Jézus a fundámentoma	392
Az erős Isten, uraknak Ura	50
Az én időm, mint a szép nyár	366
Az én lelkem szép csendesen	62
Az Isten a mi reménységünk	46
Az Isten áll ő seregében	82
Az Isten Bárányára	459
Az Istenben bízom jó reménységgel	11
Az Istenhez az én szómat	77
Az Istennek szent angyala	316
Az Izrael ezt nyilván mondhatja	124
Az oly emberek nyilván boldogok	119
Az Urat áldjátok, mert jó	106
Az Urat dícsérjétek, mert jó	147
Az Urat minden nemzetek	117
Az Urat, ti szolgái	113
Az Úr bír ez egész földdel	24
Az Úr énnékem hűséges vezérem	429
Az Úr énnékem őriző pásztorom	23
Az Úr Isten az én reménységem	275
Az Úr Isten az én világosságom	27
Az Úr Isten az ő hajlékát	87
Az Úr Isten monda az én Uramnak	110
Az Úr Isten regnál	97
Az Úr Istent magasztalom	273
Az Úr Jézus Krisztusnak kegyelme	193
Az Úr országol	99
Az Úr tégedet meghallgasson	20
Az Úrnak irgalmát örökké éneklem	89
Az Úrnak jóvolta napjainkhoz napokat told	283
Az Úrnak no énekeljetek	149
	
Áldjad én lelkem a dicsőség erős királyát	264
Áldjad én lelkem az Urat	146
Áldjad én lelkem felséges Uradat	433
Áldjad lelkem az Urat és tisztöld	104
Áldjad lelkem Uradat Istenedet	103
Áldjátok az Úr nevét	135
Áldjuk a nagy Isten jóságát	284
Áldjuk Istent végével	195
Áldott az Úr, ki kezemet tanítja	144
Áldott légy örök Úr Isten	244
Áll a Krisztus szent keresztje	230
Álmélkodással csudáljuk	305
	
Bár bűn és kín gyötör	461
Benned bíztam, Uram Isten	259
Bizonyára jó az Isten	73
Bocsásd meg, Úr Isten, ifjúságomnak vétkét	220
Boldog, aki a nyavalyást híven	41
Boldog az ember, ki az Istent	112
Boldog az ember nyilván	128
Boldogok, akik lelki szegények	204
Buzdítsd fel, Uram, lelkemet	333
Bűnösök hozzád kiáltunk	217
	
Csak vándorút az életem	410
Csak vezess, Uram, végig	462
	
Dícsér téged teljes szívem	138
Dícsérd Istent, keresztyénség	313
Dícsérd lelkem Istenedet	336
Dícséret a Szentháromságnak	245
Dícséretet mond nyelve mindennek	307
Dícsérjétek az Urat	150
Dícsérjétek az Urat, mert nagy	107
Dícsérjétek az Urat, mert ő	136
Dícsérjük hálaadással	268
Dícsérlek téged, Idvezítőmet	290
Dícsérlek téged Úr Isten	9
Dícsérlek Uram téged	493
Dícsérlek Uram tégedet	30
Dícsérünk téged Isten	75
Dicsőség a magas mennyekben	323
Dicsőség az Atyának	178
Dicsőség mennyben az Istennek	326
Dicsőült helyeken, mennyei paradicsomban	278
Drága dolog az Úr Istent dícsérni	450
	
E földön ti minden népek	100
E Húsvét ünnepében – dícsérjük	186
E Húsvét ünnepében – örvendjünk	187
E Pünkösd ünnepében – dícsérjük	188
E Pünkösd ünnepében – zeng	189
E világnak fényessége	288
E világot, bár ez bűnt tett	322
Egek nagy királya	266
Egyedüli reményem	276
Egy szép dolgot hoz elő az én szívem	45
Eltévedtem, mint juh	215
Emeld fel szíved, füled nyisd meg	473
Emeljük Jézushoz szemünk	367
Emlékezzél meg Úr Isten	132
Emlékezzél, mi történék	386
Emlékezzél, Úr Isten, híveidről	379
Emlékezzünk ez napon	351
Erős vár a mi Istenünk	390
Ez a világ csak baj halma	454
Ez esztendőt áldással	191
Ez esztendőt megáldjad	190
Ez nap nékünk dícséretes nap	320
	
Ébredj, bizonyságtévő Lélek	396
Ébredjél fel, világ, bűneidből	362
Ékes dolog dícsérni	92
Életemnek végső napját	420
Életünknek rendiben	218
Én az Úrhoz felkiálték	142
Én az Úr Istenhez kiálték	120
Én ifjúságomtól fogva engem	129
Én igazságomnak Istene	4
Én Istenem, benned bízom	406
Én Istenem, én erős Istenem	22
Én Istenem, sok nagy bűnöm	206
Én lelkem, ébredj fel	439
Én nem perlek	212
Énekeljetek minden népek	96
Énekeljetek új éneket	98
	
Fel barátim	471
Felséges Atya Úr Isten	492
Feltámadt a mi életünk	350
Felvirradt áldott szép napunk	356
Fohászkodom hozzád, Uram Istenem	258
Forog a szerencse	262
Fő boldogságom tartom én ebben	202
Fölkelt immár a szép hold	502
	
Gondviselő jó Atyám vagy	277
Gyarló testünk porrá lészen	417
Győzhetetlen én kőszálom	346
Gyűjtsünk oly kincset	175
	
Ha te meg nem tartasz	158
Hadd menjek, Istenem	422
Hagyjad az Úr Istenre	265
Hagyjátok el, hív keresztyének	400
Hajtsd hozzám, Uram, füledet	86
Halld meg, Uram, esedezésünket	477
Hallgasd meg az én könyörgésem	55
Hallgasd meg igazságomat	17
Hallgasd meg, Izrael pásztora	80
Hallgasd meg, Jézus Krisztus	388
Hallgasd meg, Uram, kérésem	102
Hallgasd meg, Uram, kérésemet	143
Hallgasd meg, Uram, könyörgésem	64
Hallgass én népem az én törvényemre	78
Hallgass meg minket nagy Úr Isten	235
Hallgassátok meg minden nemzetek	49
Hallottuk, Isten, füleinkkel	44
Hallottuk, Jézus, miképen hívogatsz	438
Haragodnak nagy voltában	38
Hatalmas Isten, könyörgünk	456
Hálaadásunkban rólad emlékezünk	197
Hálát adok néked mennybéli Isten	495
Hálát adok Uram, néked	111
Hálát adunk néked, mennyei Atyánk	496
Hinni taníts Uram	479
Hirdetvén az Úr halálát	448
Hiszek a mennybéli egy Istenben	232
Hogy a babiloni vizeknél ültünk	137
Hogy eljött az időknek teljessége	321
Hogy Izrael kijött Egyiptomból	114
Hogy panaszolkodik az anyaszentegyház	382
Hogyha ember házat épít	127
Hogyha felindul az Isten	68
Hozzád kiáltok, én Istenem	453
Hozzád kiáltok, kegyes Uram	28
Hű pásztorunk, vezesd a te árva nyájadat	229
	
Idvességünk, váltságunk	442
Igaz Bíró, nagy Úr Isten	490
Igaz Isten, ígéretedben	308
Ím béjöttünk nagy örömmel	162
Ím nagy Isten, most előtted	345
Imádandó Isten, e széles föld néked	247
Imádkozzatok és buzgón kérjetek	475
Ímé mily jó és mily nagy gyönyörűség	133
Ímhol vagyok, édes Uram Istenem	399
Irgalmazz Uram, irgalmazz nekem	57
Irgalmazz Úr Isten, immáron énnékem	256
Ismeretes az Úr Isten	76
Ismét egyik esztendeje	280
Isten élő Lelke, jöjj	463
Isten kezét mutatja	253
Isten szívén megpihenve	395
Isten, te vagy én Istenem	63
Istenem, én nagy bűnös ember	223
Istennek Báránya	183
Istennel járni, lakozni	474
Istenre bízom magamat	269
Ítélj meg engemet, Úr Isten	43
Itt állok jászolod felett	329
Itt nincs igazi boldogság	407
Itt van Isten köztünk	165
	
Jaj, mely hamar múlik	404
Járuljunk mi az Istennek szent Fiához	287
