1	Aki nem jár hitlenek tanácsán 
2	Miért zúgolódnak a pogányok? 
3	Ó, mely sokan vannak 
4	Én igazságomnak Istene 
5	Úr Isten, az én imádságom 
6	Uram, te nagy haragodban 
7	Ó, én Uram és én Istenem 
8	Ó, felséges Úr, mi kegyes Istenünk 
9	Dicsérlek téged, Úr Isten 
10	Miért távozol tőlünk, Úr Isten 
11	Az Istenben bízom jó reménységgel 
12	Szabadíts meg, és tarts meg, Uram Isten 
13	Meddig felejtesz el, Uram 
14	A bolond így szól az ő szívében 
15	Uram, ki lészen lakója 
16	Tarts meg engemet, ó, én Istenem 
17	Hallgasd meg igazságomat 
18	Ó, én Uram, ki erőt adsz énnékem 
19	Az egek beszélik 
20	Az Úr tégedet meghallgasson 
21	Örvendez, Uram, a király 
22	Én Istenem, én erős Istenem 
23	Az Úr énnékem őriző pásztorom 
24	Az Úr bír ez egész földdel 
25	Szívemet hozzád emelem 
26	Légy ítélőm, Uram 
27	Az Úr Isten az én világosságom 
28	Hozzád kiáltok, kegyes Uram 
29	Mostan, ti, hatalmasak 
30	Dicsérlek, Uram, tégedet 
31	Uram, én csak tebenned bíztam 
32	Ó, mely boldog az oly ember éltébe’ 
33	Nosza, ti, istenfélő hívek 
34	Mindenkoron áldom az Urat 
35	Perelj, Uram, perlőimmel 
36	A gonoszon gondolkodván 
37	Ne bosszankodjál a gonosztévőkre 
38	Haragodnak nagy voltában 
39	Szívemben elvégezém, és mondám 
40	Várván vártam a felséges Urat 
41	Boldog, aki a szenvedőt híven 
42	Mint a szép híves patakra 
43	Ítélj meg engemet, Úr Isten 
44	Hallottuk, Isten, füleinkkel 
45	Egy szép dolgot hoz elő az én szívem 
46	Az Isten a mi reménységünk 
47	No, minden népek 
48	Nagy az Úr méltóságában 
49	Hallgassátok meg, minden nemzetek 
50	Az erős Isten, uraknak Ura 
51	Úr Isten, kérlek, kegyelmezz nékem 
52	Mit dicsekedel gonoszságban 
53	A bolond így szól az ő szívében 
54	Tarts meg, Uram, én Istenem 
55	Hallgasd meg az én könyörgésem 
56	Kegyelmezz meg nekem, én Istenem 
57	Irgalmazz, Uram, irgalmazz nekem 
58	Ti, tanácsban ülő személyek 
59	Szabadíts meg engem, Úr Isten és tarts meg 
60	Minket, Úr Isten, elhagyál 
61	Kiáltásom halld meg, Isten 
62	Az én lelkem szép csendesen 
63	Isten, te vagy én Istenem 
64	Hallgasd meg, Uram, könyörgésem 
65	A Sionnak hegyén, Úr Isten 
66	Örvendj, egész föld az Istennek 
67	Úr Isten, áldj meg jóvoltodból 
68	Hogyha felindul az Isten 
69	Úr Isten, tarts meg és segíts engem 
70	Siess, ments meg, Uram Isten 
71	Tebenned bízom, én Istenem 
72	Uram, a te ítéletedet adjad a királynak 
73	Bizonyára jó az Isten 
74	Miért vetsz minket így el, Úr Isten? 
75	Dicsérünk téged, Isten 
76	Ismeretes az Úr Isten a Júdában 
77	Az Istenhez az én szómat 
78	Hallgass, én népem, az én törvényemre 
79	Öröködbe, Uram, pogányok jöttek 
80	Hallgasd meg, Izráel pásztora 
81	Örvendezzetek az erős Istennek 
82	Az Isten áll ő seregében 
83	Uram, ne hallgass ily igen 
84	Ó, seregeknek Istene 
85	Nagy kegyes voltál, Uram, földeddel 
86	Hajtsd hozzám, Uram, füledet 
87	Az Úr Isten az ő lakóhajlékát 
88	Úr Isten, én üdvösségem 
89	Az Úrnak irgalmát örökké éneklem 
90	Tebenned bíztunk eleitől fogva 
91	Aki a felséges Úrnak 
92	Ékes dolog dicsérni 
93	Nagy hatalommal regnál az Isten 
94	Ó, erős bosszúálló Isten 
95	Jertek, örvendjünk mindnyájan 
96	Énekeljetek, minden népek 
97	Az Úr Isten regnál 
98	Énekeljetek új éneket 
99	Az Úr országol 
100	E földön, ti, minden népek 
101	Mindennek előtte irgalmasságról 
102	Hallgasd meg, Uram, kérésem 
103	Áldjad, én lelkem, Urad, Istenedet 
104	Áldjad, lelkem, az Urat, és tiszteld 
105	Adjatok hálát az Istennek 
106	Az Urat áldjátok, mert jó 
107	Dicsérjétek az Urat, Mert nagy 
108	Úr Isten, kész az én szívem 
109	Ó, Úr Isten, én dicsőségem 
110	Az Úr Isten monda az én Uramnak 
111	Hálát adok, Uram, néked 
112	Boldog az ember, ki az Istent 
113	Az Urat, ti, ő szolgái 
114	Hogy Izráel kijött Egyiptomból 
115	Nem nekünk, Uram, nem nekünk engedd 
116	Szeretem és áldom az Úr Istent 
117	Az Urat minden nemzetek 
118	Adjatok hálákat az Úrnak 
119	Az oly emberek nyilván boldogok 
120	Én az Úr Istenhez kiálték 
121	Szemem a hegyekre vetem 
122	Örvendek az én szívembe’ 
123	Tehozzád szemeimet, Úr Isten 
124	Az Izráel ezt nyilván mondhatja 
125	Akik bíznak az Úr Istenben nagy és erős hittel 
126	Mikor a Siont az Isten 
127	Hogyha ember házat épít 
128	Boldog az ember nyilván 
129	Én ifjúságomtól fogva engem 
130	Tehozzád teljes szívből 
131	Uram, nem űz nagyra szívem 
132	Emlékezzél meg, Úr Isten 
