46	A bűnösök közt első vagyok	
3	Ahova nézek	
68	A keskeny úton	
8	Akkor is ha zúg a szél	
70	Az örökséged lásd én vagyok	
29	A zúgó vizeken	
56	Boldog az ember	
31	Boldog öröm	
44	Boldog vagyok	
17	Csend van bennem	
33	Dalolja a szíved örömmel	
35	Dicséret, dicsőség	
81	Dicsérlek Téged magasztalom	
97	Egy az utunk	
101	Egy kürt fog hangzani	
86	Egy urat követek	
52	Égi mannát kér a néped	
5	Én nem tudok nélküled élni	
98	Én is tudom él a Jézus	
38	Életem, sorsom	
93	Érzem hogy idegen	
15	Ha eljön majd	
22	Ha csak hangulat él	
96	Ha hideg is a szívem	
45	Ha jól megy a sorsod	
47	Ha kisértés elborítja	
60	Ha nem volna számomra	
30	Ha visszanézek	
41	Hála, hála van a szívemben	
61	Hogyan köszönjem	
59	Hogyha elbotolnék, van ki	
88	Hogyha szívem kéred	
90	Jézus, Jézus áldott légy	
100	Jézus, Jézus örülök én	
34	Jézus szeret nagyon	
43	Jó nekem mert	
2	A tegnap terhe	(1. kiadásban "Jó reggelt kegyelem" címmel)
62	Jöjj mihozzánk Jézus	
71	Jövel Jézus	
7	Karácsony van a szívemben	
26	Kegyelemből élek	
85	Keressétek az én orcámat	
24	Kék az ég	
64	Két szívű ember	
27	Két világban élek	
87	Könyörülj Úr Jézus	
76	Követni Jézust	
4	Lágyan hullik a hó	
25	Leborulok előtted Jézus	
84	Legyen áldás az úton	
16	Legyen csak úgy	
77	Lehet mindig hitben élni	
54	Markaimba metszettelek	
50	Menedék és oltalom	
63	Mért félig	
79	Mért is lettem	
12	Mindeddig megőrzött az Úr	
94	Minden ami kincs, ami szép	
66	Minden csak árnyék	
23	Mindennek vége lesz egyszer	
49	Mondd el, hogyha fáj	
73	Múlnak a napok	
18	Ne fordulj vissza	
40	Ne higgyétek rólam	
21	Nem értem én, hogy miért szeretsz	
82	Nem kell félnem	
14	Nem szeret senki	
13	Nem tudod, hogy mikor jön el	
37	Némán állt Pilátus udvarában	
65	Nincsen olyan boldog ember	
80	Olyan kincsre vágyunk	
72	Ott áll a Golgotán	
75	Öröm és hála	
57	Örömben, bánatban	
91	Örülj, hogy Jézus szeretve téged	
92	Összetartozunk	
83	Örvendezve élni jó	
55	Őrhelyemre állok	
28	Remélj, remélj	
1	Rád bízom	
9	Semmi jót	
53	Sok a bú	
51	Sötét világban	
39	Szemeimmel tanácsollak	
67	Szeret a Jézus engem	
6	Szeretnék énekelni Néked	
99	Szívem zeng a nagy csodáról	
78	Tanúd vagyok Uram	
32	Te harcolj és küzdjél	
89	Uram én Tőled várok	
74	Úgy érzem néha	
10	Új szövetséged elfogadom	
95	Valaki itt jár velem	
58	Van hely a Jézus kebelén	
69	Van úgy hogy fáradt	
11	Vándor vagyok	
48	Veled beszélek	
19	Vele kezdek minden reggel	
42	Vígan nevetünk	
20	Vígan sietek	
36	Volna sok okom	
		
102	Köszönöm az életem	(csak a 2. kiadásban adták hozzá)
