1	Zengjen hálaének Isten szent nevének		Isten magasztalása, dicsőítése
2	A Te kegyelmedben bízom, Istenem		Kegyelem, Megváltás, Isten örök szerelme
3	Uram, úgy szeretnék sokat tudni Rólad		Vágyakozás Isten megismerésére, Szentlélekkel való beteljesedés. A megváltozott élet öröme és hálaadása
4	Áldd meg, Isten, a magyar nép…		Fohászkodás nemzetünkért
5	Ne unszolj engem	Ruth 1,16-17	Ruth hűsége megszomorodott anyósa iránt. Menyegzői alkalmakra hasznos szóló ének
6	Uram, Te jól ismersz engem		Hálaadás Isten irgalmáért, hozzánk lehajlásáért és végtelen szeretetéért
7	Fenn a kereszten kiömlött a vér		Jézus váltságvére vígasz, erő, győzelem
8	Jelentsd meg énnékem magad		Ima Isten titkai megértéséért, a bűntől szabadulásért, megmentő szeretetéért
9	Elveszett bűnös	Jel 2-3	Bűnbánat és vágyódás a megtérésre, a boldog élet titka
10	Itt a földön nincs az én országom		Jövevények és vándorok vagyunk. A boldog élet titka. Hit, remény szeretet
11	Jézus a mi békességünk	Fil 2,15; Ef 2,14-15	Békesség Istennek és emberekkel
12	Úr Jézus, Úr Jézus, Téged várlak		Gyermekének, Advent, Karácsony
13	Elült minden földi zaj		A csend áldása. Az éjszaka csendje
14	Eljő az Úr, eljő hamar	1Thessz 6,16-17	Jézus visszajövetele. A hívők reménysége
15	Dicsérjétek az Urat az égből	Zsolt 138	A teremtett világ és az ember Istent dicsőítse
16	Ó, Szentlélek, jöjj el hozzánk		Pünkösdi ima a Szentlélekért
17	Uram, ne feddj haragodban	Zsolt 6	Bűnbánat. Bocsánatkérés Istentől
18	Kövek fognak kiáltani	Lk 19,40	Misszió. Bizonyságtétel. Megtérésre buzdítás
19	Jézus arcán látom	Zsid 1,3	Jézus szépsége, szeretete, jósága, váltságvére, békessége
20	Karácsony, Karácsony, drága ünnepünk		Karácsonyi gyermekének
21	Mossál meg engem	Jn 13	Bűntől megtisztulás
22	Ragyogj, Te áldott égi fény		Szóló ének Karácsonykor
23	Jöjjetek Karácsonyt ünnepelni		Karácsonyi gyermekének
24	Megjelent az Isten nagy kegyelme		Karácsonyi ének
25	Jézusom, Királyom, irgalmadat várom		Jézus királyi irgalma, világossága, szerelme, vezetése
26	Új szívet adj nékem		Új szív, melyben Jézus lakik, az Ige és a Lélek uralkodik
27	Megromlott az emberszív		A bűnös ember megtérésre hívogatása
28	Megismerni Téged	Jn 17,3	Az örökélet. Örök boldogság. Mennyország
29	Nem messze vagy Isten országától	Mk 12,34	Figyelmeztetés a veszedelmekre és hívogatás megtérésre
30	Még kicsi vagyok		Kisgyermek ének
31	A Golgotán, a Golgotán jártam az áldott vér nyomán		Nagypénteki ének
32	Sűrű sötét van mindenfelé		A bűn sötétjéből, hívő és Istent magasztaló életre vágyás
33	Olajfáknak illatát széthordja a szél		Jézus búcsúja az Olajfák hegyén és visszatérésének ígérete
34	Áldjon meg téged az Úr	4Móz 6,22-27	Az ároni áldás
35	Van itt egy gyermek és öt kenyér	Jn 6,9	Gyermekének, az ötezer ember megvendégeléséről
36	Jézus kopogtat a szívem ajtaján		Adventi ének. Evangelizáló alkalmakra
37	Várva várunk, Jézusunk		Adventi ének
38	Örvendj, Sion leánya	Ézs 35; Jer 9,9	Adventi ének
39	Béküljetek meg Istennel	2Kor 6,20	Megbékélés Istennel és emberekkel
40	A Tábor ormán Véle jártam én	Mt 17,1-9	A megdicsőülés hegyén
41	Énekem az Úr	Ézs 12,2	Értem, velem, engem, bennem
42	Szólj hozzám csendesen	Kir 19,12	Félelmek éjjelén, Isten szelíd szava, vígasztalása, vezetése
43	Imádkozom, ha kél a nap		Kora reggel, bánatban, őriző szeretetért, gondviselésért
44	Dicsérjük Istent mindnyájan		Szívvel, szájjal, élettel
45	Jézus, Téged áld szívem		Jézus öröm, gyönyörűség, fény
46	Zákeus, a vámszedő	Lk 19,1-10	Gyermek ének
47	Tiéd vagyok, Jézusom		Gyermek ének
48	Szólj hozzám, szólj ma, Istenem!		Az Igét hallani, elfogadni, tovább adni
49	Az Úr közel	Fil 4,5	Ne állj meg a bűn utján, keresd üdvösségedet
50	Jöjjetek hozzám, jöjjetek mind		Szomjazó szívek, kincskeresők, szeretetre vágyók
51	Jöjj Jézushoz, jöjj Hozzá hamar		Míg el nem takar a sír, rakd le terhedet, keresd üdvösségedet
52	Jézus, égi szeretet		Fogadj el, bocsáss meg, neveld hitem, vezess, add Szentlelkedet
53	Jézus földre jött		Adventi, karácsonyi gyermek ének
54	Imádkozom kora reggel		Munkába menet, bajban, betegségben, örömben, bánatban
