1	A börtönömnek zárát	UjHozs 4	
2	A Jézusnál van menhelyem		
3	A mélyből Hozzád száll	Az Úrnak zengjen az ének 87	
4	A mennyben fenn, a trónusnál	Álld, lelkem, Istened 124	
5	A nagy mélységből	H 218	
6	A napfelkeltétől	Erőm és énekem az Úr 9	
7	A szívem, Jézus	OB 25	
8	A szívemet átadom én	Magasztaljuk az Urat 5	
9	Abbá Atyánk	Magasztaljuk az Urat 7	
10	Add csak korán szíved, elméd	~Kereszt alatt 79	
11	Adj hálát az Úrnak		
12	Adj új erőt, Urunk	H 3	
13	Adj, Uram, ma új szívet	DicsUj 270	
14	Aki hozzám fordul	HSZE 6	
15	Áldásoddal megyünk	Erőm és énekem az Úr 3	
16	Áldd, lelkem, Istened	Áldd, lelkem, Istened 179	
17	Áldjad, én lelkem	DicsUj 7 (~RE 264 változata)	
18	Áldjad, lelkem, áldjad, életem	HSZE 26	
19	Áldjad vígan az Urat	DicsUj 8	
20	Áldó hatalmak	Az Úrnak zengjen az ének 253	
21	Áldott szavad által	Erőm és énekem az Úr 7	
22	Áll a szikla mindörökké	DicsUj 298 (~H 329)	
23	Ama szép hon felé	UjHozs 407	
24	Amint vagyok, csak úgy jövök	UjHozs 18	
25	Amit szívünk esdve kér	H 12	
26	Atyám, két kezedben	Erőm és énekem az Úr 14	
27	Az áldott orvos közeleg	H 15	
28	Az egyháznak a Jézus a fundamentuma	RE 392	
29	Az írás széjjeltépve	H 17	
30	Az Isten Bárányára	RE 459	
31	Az Úr az én hű pásztorom	JE 145	
32	Az Úr csodásan működik	H 223	
33	Az Úr kopog, ne várj!	Lelki énekek 46	
34	Az üdv, mit Krisztus Jézus ad	H 373	
35	Azt az éltet vágyom élni	H 222	
36	Bár ezer nyelvvel zenghetném	DicsUj 12	
37	Bízom Benned, Uram Jézus	H 229	
38	Bűnös a nevem	JE 133	
39	Csak Krisztusban kaptam reményt	Dicsérem neved V 42	
40	Csak zengje, zengje hálánk	H 30	
41	Csend van bennem	OB 35, TVU 17	
42	Csillag, égi fényem	DicsUj 373	
43	Dicséri, áldja szüntelen	Magasztaljuk az Urat 54	
44	Dicsérjétek az Úrnak nevét	Ébredj, alvó 147	
45	Dicsérlek Téged, mennynek, földnek Atyja	DicsUj 15	
46	Dicsőség Néked, Istenünk!	JE 39	
47	Ébredj, bizonyságtévő lélek	RE 396	
48	Egy új nap	HSZE 46	
49	Egyszerűen hitben élj	DicsUj 374	
50	Eljön az Úr, eljön hamar	Zengjen hálaének I 14, LE 37	
51	Eljön az Úr, halleluja	H 39	
52	Emlékezz vissza az útra	Baptista énekeskönyv 296	NINCS MEG!
53	Én lelkem, zengj szép zsoltárt	Erőm és énekem az Úr 36	
